"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.054955891E0,-5.160255432E-1,-4.172487259E-1,-5.700907111E-1
2.071962880E0,-4.215612411E-1,-3.756198883E-1,-6.142733097E-1
2.088967366E0,-3.177337646E-1,-2.847566605E-1,-6.043952107E-1
2.105973103E0,-4.230918884E-1,-1.379623413E-1,-3.082970977E-1
2.122978841E0,-3.634033203E-1,-8.917284012E-2,2.263101935E-1
2.139984528E0,-1.564297676E-1,-3.534870148E-1,4.732621014E-1
2.156995241E0,-2.036480904E-1,-6.586084366E-1,4.859891832E-1
2.173995983E0,-4.730362892E-1,-7.102961540E-1,3.343458176E-1
2.191001650E0,-3.442344666E-1,-6.471114159E-1,2.814801931E-1
2.208007489E0,-1.611866951E-1,-8.252863884E-1,2.901338637E-1
2.225013248E0,-3.726105690E-1,-8.211207390E-1,3.355262280E-1
2.242021162E0,-2.271780968E-1,-8.593373299E-1,6.484586596E-1
2.259024611E0,1.049646378E0,-2.252182007E0,1.034692883E0
2.276037673E0,8.054261208E-1,-2.730940104E0,5.682145357E-1
2.293038518E0,-4.296746254E-1,-1.880285740E0,3.379887938E-1
2.310041936E0,-8.536443710E-1,-1.039493084E0,-1.022320390E-1
2.327047796E0,-8.764457703E-1,-4.307775497E-1,-2.274084687E-1
2.344054886E0,-5.149641037E-1,-2.886199951E-2,-2.448834777E-1
2.361042985E0,-1.266756058E-1,3.369507790E-1,-2.925372124E-1
2.378064358E0,-2.404451370E-1,9.178376198E-1,-8.075314760E-2
2.395070442E0,3.842067719E-2,5.165686607E-1,9.746861458E-2
2.412076332E0,2.658205032E-1,5.251693726E-1,1.127283573E-1
2.429082069E0,2.385730743E-1,4.253191948E-1,3.839681149E-1
2.446087838E0,3.621406555E-1,5.073716640E-1,3.193761706E-1
2.463075896E0,3.348560333E-1,5.250368118E-1,2.825456262E-1
2.480084695E0,1.896924973E-1,4.562516212E-1,3.868761659E-1
2.497105031E0,9.695625305E-2,4.997742176E-1,6.563024521E-1
2.514110789E0,-3.406810760E-2,5.569467545E-1,8.611100912E-1
2.531119863E0,-2.774553299E-1,6.561009884E-1,8.524727225E-1
2.548113048E0,-4.358167648E-1,5.937631130E-1,7.309672832E-1
2.565125877E0,-4.382219315E-1,3.004812002E-1,6.577657461E-1
2.582133831E0,-4.200229645E-1,2.839800119E-1,6.751306057E-1
2.599136812E0,-4.599514008E-1,3.144719601E-1,5.821553469E-1
2.616145184E0,-3.991870880E-1,1.113116741E-1,3.218984604E-1
2.633151248E0,-4.268503189E-1,3.847903013E-2,1.828256845E-1
2.650140333E0,-6.251382828E-1,2.309561670E-1,1.331644058E-1
2.667162489E0,-7.680721283E-1,1.876183748E-1,5.837547779E-2
2.684168217E0,-8.037567139E-1,9.560438991E-2,3.299462795E-2
2.701171412E0,-7.925767899E-1,5.576983094E-2,1.616675854E-1
2.718179581E0,-7.077932358E-1,-7.103663683E-2,1.126914024E-1
2.735188238E0,-8.095026016E-1,-3.310859203E-2,5.081081390E-2
2.752189174E0,-7.802743912E-1,5.811214447E-2,-2.695465088E-2
2.769196794E0,-8.195610046E-1,3.077179193E-1,1.392469406E-1
2.786205797E0,-7.873849869E-1,2.721233368E-1,3.071384430E-1
2.803208270E0,-8.361349106E-1,2.021439075E-1,1.625216007E-1
2.820214221E0,-6.193580627E-1,-1.270679235E-1,1.297791004E-1
2.837203519E0,-5.788583755E-1,-6.186056137E-2,1.420848370E-1
2.854225900E0,-5.214443207E-1,-3.977046013E-1,2.411952019E-1
2.871234424E0,-4.323463440E-1,-4.376107454E-1,3.987395763E-1
2.888236978E0,-5.081138611E-1,-2.892017365E-1,6.361060143E-1
2.905232839E0,-4.514694214E-1,-3.085479736E-1,5.334801674E-1
2.922238282E0,-5.172309875E-1,-3.262250423E-1,2.787582874E-1
2.939252666E0,-6.194467545E-1,-2.916820049E-1,-1.998543739E-2
2.956259970E0,-6.485519409E-1,-4.984116554E-2,-1.135728359E-1
2.973265698E0,-5.742158890E-1,-4.134511948E-2,-6.019854546E-2
2.990274670E0,-5.117931366E-1,-8.275008202E-2,-9.631490707E-2
3.007277152E0,-5.967874527E-1,-1.206305027E-1,-2.258205414E-2
3.024274987E0,-5.333461761E-1,-1.389923096E-1,1.793026924E-2
3.041288709E0,-4.209470749E-1,-2.861075401E-1,-5.263829231E-2
3.058294355E0,-3.711013794E-1,-4.118027687E-1,-2.445096970E-1
3.075296777E0,-3.948316574E-1,-4.090490341E-1,-3.810245991E-1
3.092305791E0,-3.866806030E-1,-3.358108997E-1,-3.422753811E-1
3.109299555E0,-4.676542282E-1,-1.221725941E-1,-1.197636127E-1
3.126316065E0,-3.429565430E-1,-1.893632412E-1,-4.752421379E-2
3.143323095E0,-2.990093231E-1,-1.495268345E-1,-1.544947624E-1
3.160328731E0,-3.915357590E-1,-4.373376369E-1,-4.182519913E-1
3.177337551E0,-4.035120010E-1,-3.673174381E-1,-4.395415783E-1
3.194340197E0,-2.209339142E-1,-1.444423199E-1,-3.204698563E-1
3.211335924E0,-2.003030777E-1,-1.972522736E-1,-2.579848766E-1
3.228351681E0,-1.774501801E-1,-1.548962593E-1,-2.474284172E-1
3.245357623E0,-1.270570755E-1,-1.137285233E-1,-1.738526821E-1
3.262366484E0,5.478858948E-3,-1.649878025E-1,-2.017588615E-1
3.279368885E0,3.145980835E-2,-2.192537785E-1,-2.736020088E-1
3.296353382E0,-1.060142517E-1,-1.017959118E-1,-2.087724209E-1
3.313376952E0,-9.477615356E-2,-7.479834557E-2,-1.918451786E-1
3.330386444E0,-1.305570602E-1,-8.709239960E-2,-1.648499966E-1
3.347391133E0,-1.909427643E-1,-5.213737488E-2,-2.021543980E-1
3.364386649E0,-1.278753281E-1,-3.970789909E-2,-1.766190529E-1
3.381403311E0,-1.590337753E-1,-6.645512581E-2,-1.278874874E-1
3.398406160E0,-2.894554138E-1,-1.073379517E-1,-4.489731789E-2
3.415414767E0,-4.444494247E-1,-2.669467926E-1,-1.175150871E-1
3.432406812E0,-7.139692307E-1,-3.000714779E-1,-3.706955910E-1
3.449423098E0,-9.696536064E-1,-2.332744598E-1,-5.669753551E-1
3.466431949E0,-8.451900482E-1,-8.522510529E-3,-5.773601532E-1
3.483428603E0,-5.434293747E-1,-1.762866974E-2,-2.744662762E-1
3.500445571E0,-1.747217178E-1,-2.488231659E-2,-1.768422127E-2
3.517446080E0,1.468820572E-1,1.103878021E-2,-1.768064499E-2
3.534454901E0,2.986240387E-1,1.234545708E-1,-1.467037201E-1
3.551463120E0,2.526664734E-1,1.591372490E-1,-1.824941635E-1
3.568455155E0,-4.474639893E-3,2.863237858E-1,-1.502234936E-1
3.585468899E0,-2.462854385E-1,4.081344604E-1,-9.521532059E-2
3.602477851E0,-4.239711761E-1,3.151378632E-1,5.661296844E-2
3.619483690E0,-4.863519669E-1,3.103384972E-1,1.297879219E-1
3.636475889E0,-6.169366837E-1,5.794644356E-2,1.455712318E-2
3.653495095E0,-6.651773453E-1,-2.418150902E-1,-7.489037514E-2
3.670490822E0,-5.310134888E-1,-2.459764481E-1,-4.116201401E-2
3.687506529E0,-4.637727737E-1,-2.622549534E-1,2.002840042E-1
3.704512634E0,-3.733491898E-1,-2.155375481E-1,3.241319656E-1
3.721504781E0,-2.693729401E-1,-1.516950130E-1,2.611236572E-1
3.738528168E0,-8.628845215E-2,-9.298825264E-2,1.301023960E-1
3.755529471E0,1.932191849E-1,-5.339407921E-2,1.987657547E-1
3.772534984E0,3.205442429E-1,8.951187134E-3,3.326983452E-1
3.789542655E0,5.138874054E-1,-3.867530823E-2,4.200434685E-1
3.806542492E0,6.212701797E-1,-1.841683388E-1,4.982304573E-1
3.823549359E0,5.352458954E-1,-2.434923649E-1,5.286862850E-1
3.840558179E0,6.326026917E-1,-6.051833630E-1,4.711594582E-1
3.857564079E0,4.353084564E-1,-4.793746471E-1,3.522553444E-1
3.874554417E0,5.463314056E-2,-2.827603817E-1,4.066051245E-1
3.891575362E0,-3.811817169E-1,-1.045365334E-1,5.750132799E-1
3.908581038E0,-7.751684189E-1,-1.690728664E-1,4.359059334E-1
3.925583440E0,-1.184352875E0,-1.511031389E-1,2.386038303E-1
3.942594366E0,-1.380839348E0,-5.116689205E-2,1.816153526E-1
3.959598139E0,-1.406760216E0,-1.038386822E-1,2.395827770E-1
