subject,Activity,Acceleration x (m/s^2)_mean,Acceleration x (m/s^2)_std,Acceleration x (m/s^2)_min,Acceleration x (m/s^2)_max,Acceleration y (m/s^2)_mean,Acceleration y (m/s^2)_std,Acceleration y (m/s^2)_min,Acceleration y (m/s^2)_max,Acceleration z (m/s^2)_mean,Acceleration z (m/s^2)_std,Acceleration z (m/s^2)_min,Acceleration z (m/s^2)_max,Gyroscope x (rad/s)_mean,Gyroscope x (rad/s)_std,Gyroscope x (rad/s)_min,Gyroscope x (rad/s)_max,Gyroscope y (rad/s)_mean,Gyroscope y (rad/s)_std,Gyroscope y (rad/s)_min,Gyroscope y (rad/s)_max,Gyroscope z (rad/s)_mean,Gyroscope z (rad/s)_std,Gyroscope z (rad/s)_min,Gyroscope z (rad/s)_max,Linear Acceleration x (m/s^2)_mean,Linear Acceleration x (m/s^2)_std,Linear Acceleration x (m/s^2)_min,Linear Acceleration x (m/s^2)_max,Linear Acceleration y (m/s^2)_mean,Linear Acceleration y (m/s^2)_std,Linear Acceleration y (m/s^2)_min,Linear Acceleration y (m/s^2)_max,Linear Acceleration z (m/s^2)_mean,Linear Acceleration z (m/s^2)_std,Linear Acceleration z (m/s^2)_min,Linear Acceleration z (m/s^2)_max
2,drinking,-2.138413802269676,4.966704717528375,-32.41078186,10.86401272,3.1834806937082134,7.632737846225531,-12.43729401,94.698349,1.3262737159597495,2.9445664581251867,-6.518048763,14.08475208,-0.0207817636653728,0.4773157735336146,-2.031279564,1.740355134,0.1298552336296987,0.867123711649651,-2.38115263,6.826266289,0.0185833838563169,1.9013649415010765,-3.576921463,9.09731102,0.7283457414807656,1.7269705345104205,-4.259870052,7.669363022,-0.028207256107821,2.2434974386836517,-7.880190372,12.44294453,0.0650927343841634,0.9824424390448648,-2.867547512,5.303101063
3,walking,6.760392427829005,4.119886483714991,-4.706812134,14.58432175,-7.195772464168287,5.104258003436212,-17.35805374,7.883356476,2.327897576306006,2.746875584680486,-3.221900024,12.83431091,-0.132458868144093,1.2905905536208686,-4.366099358,2.846538782,0.0498749520444046,1.1874626481380075,-5.313783169,6.376367092,-0.0338700354556907,2.7311782840987995,-5.802436829,6.251459599,1.6627031034792994,4.832640810796603,-9.094979081,10.94497262,-2.869975999336702,4.269727537236512,-11.71642034,6.42393121,0.7497892965154408,2.1303433255297053,-6.201354023,7.870948684
1,drinking,-4.181784485622758,4.461169266733962,-10.07031155,5.257966042,6.149521440839146,4.257628672371384,-4.472368717,12.7613945,0.6920007549944746,2.387341067573467,-2.468421936,10.56112289,-0.0072408320156229,0.5128761374338646,-2.771113873,2.658256531,0.1131334139101618,1.018113234206902,-4.688238144,6.623153687,0.0084616876047959,1.590172052917611,-3.796451092,3.284698725,0.8484929922702332,1.5553619580626734,-3.009613752,5.068480015,0.5180223583229346,1.2535590799776777,-3.430687666,4.459070206,-1.6497694009631128,1.9064570978359692,-6.432450771,4.95235157
3,drinking,-4.978980344571962,4.674836795527295,-11.03954315,9.601333923,4.663645762505781,5.112441061625384,-3.924239502,11.84546722,0.9891686033203404,1.3768543891760474,-1.493743744,8.255033569,-0.0376754978582959,0.2928212153057724,-2.831303596,0.9784170389,0.0525364162361145,0.390780712226951,-1.658428788,3.024595022,0.0538783390733303,0.9039248897978788,-1.780711532,5.545827866,0.0819183113758063,0.5607844683719793,-2.333257731,4.620587922,0.0721232311939896,0.5385760029644738,-2.069048953,2.075120117,0.062073927145136,0.3340468436460622,-2.069776931,3.304395466
1,drinking,-3.8768788338278553,5.159265655982506,-10.22593498,6.517316341,4.749704047905698,5.068054899433558,-6.459855556,12.54591656,1.169582419966684,2.871287600572926,-2.928108692,10.71914005,-0.0582135488052147,0.5017018151587428,-2.504776478,2.20804882,0.0298584241399189,0.8023451185979448,-3.972685814,4.959385872,-0.0263692166817822,1.6557023323693718,-4.240855694,4.051640034,0.2453629786744076,1.0810105018393623,-4.260623455,3.314598322,-0.1548571041988697,1.0314229316440966,-3.003062725,2.772049904,-0.3438347609981891,0.7743414459334842,-2.328518391,2.86303091
2,walking,7.510136933546459,3.8987896395573234,-9.223732948,14.34676647,-4.786254524921264,2.7915823025856352,-10.21316528,6.562315941,2.448071408129747,2.243223591001486,-2.37786746,12.11545944,-0.053219973727793,0.912146009043387,-4.507727146,3.268892527,-0.054422376333373,1.3129673142092373,-4.43686676,6.943705082,0.0342782168810764,1.390656505160936,-3.965737104,3.959170341,0.1810551616036561,2.713187445975388,-4.381864548,8.307917595,-1.4002436831435183,2.4506175962178904,-9.196516037,3.095127344,0.906968963031567,1.433261153280582,-7.845920086,5.125792027
2,walking,7.506058029190788,3.454735383415348,-5.916851997,14.70987701,-5.377957352580218,3.0684128911300053,-12.27278709,7.136593342,2.600052324121674,2.3938653787227206,-2.406581402,18.45404625,-0.1962971491430937,1.0362994569677746,-5.507561207,4.700913429,0.0234029859256775,1.346742650932646,-5.439449787,3.925114632,-0.0086108414108985,1.6225493116923353,-3.713907957,3.995669603,0.0310951866161703,2.805438868919345,-5.503494263,7.550567627,-2.584403086308574,3.1611672802482955,-11.20337296,4.538094044,1.735332678076949,1.9629489212385216,-4.483852386,8.3548069
1,walking,7.77271042248387,2.8354446080956826,1.065419793,17.17181396,-7.079078569231693,3.4428664220375698,-13.00799751,5.363311291,1.306510317232041,2.060622568333597,-4.041412354,10.42465305,0.0305092434805682,0.8930666405261656,-1.954157948,2.98652029,0.0225045170267155,1.026989969503163,-3.561497211,4.682740211,0.0314120451950451,1.9931109431364984,-3.631059408,3.496516228,0.7403662123951049,3.811725640806208,-7.702241898,11.49464417,-2.806957977935119,3.387288101762321,-11.01350689,4.705270767,4.096958446003604,1.933701207187939,-3.138287306,11.59271145
2,walking,7.726304165040105,3.3041506459523933,-5.113461971,13.51466274,-5.852773689659868,2.673790778140254,-11.01177025,4.338187218,1.3702150659479018,2.5907505003651106,-3.276970625,13.5595274,0.0078700358326446,0.748028359916715,-2.829222441,1.942856908,-0.0158969222162599,1.3618684292236871,-3.822183847,3.642436743,0.0428697282753152,1.7570838776757058,-3.071430445,4.411210537,0.8116082696994567,2.9825320924041216,-5.039873123,9.393836975,-1.7378098592290887,2.926203594077597,-8.95664978,3.909537554,1.352974772689336,1.7188781313384909,-4.431525707,5.676819324
2,drinking,4.1315915410777935,4.493982771030397,-10.74138069,9.945767403,6.115090121323085,4.3623479432067445,-3.531208038,38.9533577,-0.5520780170209846,1.981327447539049,-10.3974123,14.94437408,-0.0279003762955802,0.4091496689318612,-3.215900183,1.898416519,0.0095968194899745,0.7014585344544867,-5.05613184,4.133266926,0.0675352791258057,1.043526751156343,-2.767524958,4.665941238,-0.2012512378245953,0.6229534370917928,-2.568475246,3.247380733,0.0556489154453468,0.7990117453728253,-2.730940104,6.893429756,0.0580114339836859,0.6007414333373288,-6.291653633,4.147379398
