"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.691565478E0,-8.760722160E0,2.572882652E0,-2.860619545E0
3.693677762E0,-8.746364594E0,2.582453728E0,-2.865405083E0
3.695808153E0,-8.727222443E0,2.611167669E0,-2.893520832E0
3.697946458E0,-8.727222443E0,2.635095835E0,-2.922234535E0
3.700076046E0,-8.727222443E0,2.644667149E0,-2.941377163E0
3.702200263E0,-8.732007980E0,2.644667149E0,-2.931805849E0
3.704316108E0,-8.755936623E0,2.663809776E0,-2.956332445E0
3.706449877E0,-8.755936623E0,2.682952404E0,-2.956332445E0
3.708575273E0,-8.789435387E0,2.696711063E0,-2.989831924E0
3.710703234E0,-8.803792953E0,2.706282377E0,-2.966501951E0
3.712823819E0,-8.822935104E0,2.725425005E0,-3.000001431E0
3.714936592E0,-8.842078209E0,2.778067112E0,-2.981456995E0
3.717062619E0,-8.856434822E0,2.782852650E0,-2.976671457E0
3.719192553E0,-8.846863747E0,2.821137905E0,-2.986242771E0
3.721333757E0,-8.837292671E0,2.840280533E0,-3.014956474E0
3.723459592E0,-8.827720642E0,2.859423161E0,-3.005385160E0
3.725585081E0,-8.832506180E0,2.888136864E0,-2.995813847E0
3.727707639E0,-8.822935104E0,2.897708178E0,-3.005385160E0
3.729833473E0,-8.813961983E0,2.892922640E0,-2.991028309E0
3.731961973E0,-8.789435387E0,2.878565550E0,-3.014358282E0
3.734093432E0,-8.799007416E0,2.878565550E0,-2.990430117E0
3.736206317E0,-8.808578491E0,2.873780012E0,-3.000001431E0
3.738336616E0,-8.866005898E0,2.883351326E0,-3.005385160E0
3.740460365E0,-8.928219795E0,2.882753134E0,-3.006581545E0
3.742589476E0,-8.952147484E0,2.873181820E0,-2.992224693E0
3.744711038E0,-9.004789352E0,2.882753134E0,-3.007179976E0
3.746826577E0,-9.038289070E0,2.901895761E0,-3.007778168E0
3.748965533E0,-9.071788788E0,2.906083107E0,-3.013161898E0
3.751091571E0,-9.062217712E0,2.934797049E0,-3.017349243E0
3.753219216E0,-9.062217712E0,2.944368362E0,-3.002992392E0
3.755333963E0,-9.047860146E0,2.930011272E0,-3.002992392E0
3.757468758E0,-9.004789352E0,2.968894720E0,-3.002394199E0
3.759594318E0,-8.947361946E0,2.959323406E0,-3.001796007E0
3.761722604E0,-8.919246674E0,2.954537868E0,-2.997010469E0
3.763846149E0,-8.880961418E0,2.954537868E0,-2.982055187E0
3.765970000E0,-8.847461700E0,2.955136061E0,-2.981456995E0
3.768090411E0,-8.823533058E0,2.955136061E0,-3.000599623E0
3.770224455E0,-8.833105087E0,2.950350285E0,-2.976671457E0
3.772349404E0,-8.842676163E0,2.974278450E0,-2.995813847E0
3.774476195E0,-8.837890625E0,2.974278450E0,-2.986242771E0
3.776596485E0,-8.866603851E0,2.969492912E0,-2.972483873E0
3.778724079E0,-8.861818314E0,2.983849764E0,-2.958127022E0
3.780842141E0,-8.866603851E0,2.969492912E0,-2.948555708E0
3.782979298E0,-8.909674644E0,2.964108944E0,-2.968296528E0
3.785104390E0,-8.890532494E0,2.955136061E0,-2.938984394E0
3.787233458E0,-8.909674644E0,2.959323406E0,-2.949153900E0
3.789355926E0,-8.885746956E0,2.955136061E0,-2.915056229E0
3.791481739E0,-8.866603851E0,2.950350285E0,-2.919841766E0
3.793607035E0,-8.852247238E0,2.959921598E0,-2.900699139E0
3.795728505E0,-8.837890625E0,2.969492912E0,-2.910270452E0
3.797841277E0,-8.837890625E0,2.979064226E0,-2.905484915E0
3.799984557E0,-8.828319550E0,2.974278450E0,-2.928814888E0
3.802110636E0,-8.837890625E0,2.983849764E0,-2.928814888E0
3.804241556E0,-8.866603851E0,2.998206854E0,-2.924627542E0
3.806362061E0,-8.885746956E0,2.997608662E0,-2.948555708E0
3.808488056E0,-8.914461136E0,3.011965513E0,-2.925225735E0
3.810613321E0,-8.957531929E0,3.007179976E0,-2.944966555E0
3.812739359E0,-8.976674080E0,2.988037348E0,-2.964108944E0
3.814865122E0,-9.024530411E0,2.968894720E0,-2.979064226E0
3.816986246E0,-9.014361382E0,2.949752092E0,-3.016751051E0
3.819095855E0,-9.043074608E0,2.925225735E0,-3.022135019E0
3.821233582E0,-9.047860146E0,2.930011272E0,-3.022135019E0
3.823369467E0,-9.033503532E0,2.934797049E0,-3.007778168E0
3.825499095E0,-9.024530411E0,2.954537868E0,-2.979064226E0
3.827622710E0,-9.019744873E0,2.959323406E0,-2.964707375E0
3.829745982E0,-9.000602722E0,2.973680258E0,-2.964707375E0
3.831868999E0,-8.986245155E0,3.011965513E0,-2.944966555E0
3.833986410E0,-8.995817184E0,3.002394199E0,-2.916850805E0
3.836120545E0,-8.976674080E0,3.007179976E0,-2.906681299E0
3.838239094E0,-8.962915421E0,3.007179976E0,-2.882753134E0
3.840377502E0,-8.953344345E0,3.026322365E0,-2.854039192E0
3.842500794E0,-8.943773270E0,3.016751051E0,-2.839682341E0
3.844629019E0,-8.938986778E0,3.012563705E0,-2.830111027E0
3.846753266E0,-8.924630165E0,3.002992392E0,-2.815753937E0
3.848878316E0,-8.915059090E0,2.983849764E0,-2.806182861E0
3.851003642E0,-8.924630165E0,2.993421078E0,-2.796611547E0
3.853129334E0,-8.924630165E0,2.998206854E0,-2.763111830E0
3.855256054E0,-8.924630165E0,3.007778168E0,-2.739183664E0
3.857378521E0,-8.900702477E0,2.993421078E0,-2.748754978E0
3.859497031E0,-8.910871506E0,3.012563705E0,-2.729612350E0
3.861632559E0,-8.886942863E0,3.041277647E0,-2.743969440E0
3.863758333E0,-8.805587769E0,3.003590584E0,-2.728415966E0
3.865884655E0,-8.868398666E0,3.160918713E0,-2.681756020E0
3.867998444E0,-8.729615211E0,3.128017426E0,-2.660818815E0
3.870123048E0,-8.686544418E0,3.180659533E0,-2.727219582E0
3.872262747E0,-8.643473625E0,3.152543783E0,-2.650649309E0
3.874389528E0,-8.595617294E0,3.157329559E0,-2.687737942E0
3.876516614E0,-8.571688652E0,3.142972469E0,-2.702095032E0
3.878638642E0,-8.538188934E0,3.157329559E0,-2.648854733E0
3.880764771E0,-8.552546501E0,3.157329559E0,-2.644667149E0
3.882890474E0,-8.499904633E0,2.961716175E0,-2.586043119E0
3.885016227E0,-8.456833839E0,3.124428272E0,-2.715255499E0
3.887139161E0,-8.458627701E0,3.116053343E0,-2.146960020E0
3.889252869E0,-8.451449394E0,3.142972469E0,-2.834298372E0
3.891381858E0,-8.738588333E0,3.175873756E0,-2.794816732E0
3.893519889E0,-8.568697929E0,3.191427231E0,-2.325225353E0
3.895648277E0,-8.494520187E0,3.028715372E0,-2.729612350E0
3.897774039E0,-8.850452423E0,3.352942705E0,-2.529213428E0
3.899893495E0,-8.452047348E0,3.090928555E0,-2.614757061E0
3.902009636E0,-8.643473625E0,3.195614576E0,-2.665006161E0
3.904148765E0,-8.529216766E0,3.191427231E0,-2.544168711E0
