"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.242723292E0,-1.096636057E0,-6.379092932E-1,-8.202052116E-1
1.252676292E0,-1.080878139E0,-7.085685730E-1,-1.009172559E0
1.262630292E0,-1.125872970E0,-7.735768557E-1,-1.096818328E0
1.272583292E0,-1.205140591E0,-6.814719439E-1,-1.137928247E0
1.282536292E0,-1.309810519E0,-4.414764345E-1,-1.232087016E0
1.292490292E0,-1.355424285E0,-1.268204749E-1,-1.341146708E0
1.302443292E0,-1.263784766E0,1.720824540E-1,-1.328055143E0
1.312396292E0,-1.053378582E0,3.430118561E-1,-1.202577949E0
1.322349292E0,-7.349483967E-1,3.369557858E-1,-1.054307103E0
1.332303292E0,-3.241795003E-1,1.977882981E-1,-9.125972986E-1
1.342256292E0,1.268974841E-1,-5.826743692E-2,-7.978636622E-1
1.352209292E0,5.792431235E-1,-3.838495314E-1,-6.925180554E-1
1.362163292E0,9.881291389E-1,-7.227914333E-1,-5.775061846E-1
1.372116292E0,1.285410881E0,-1.034010053E0,-5.204192400E-1
1.382069292E0,1.501877069E0,-1.127342463E0,-4.557059109E-1
1.392023292E0,1.644671321E0,-9.643961191E-1,-3.628199399E-1
1.401976292E0,1.669119596E0,-7.844349742E-1,-2.845705450E-1
1.411929292E0,1.610973954E0,-6.158640385E-1,-1.773956120E-1
1.421883292E0,1.484452724E0,-4.433390200E-1,-2.181093954E-2
1.431836292E0,1.304875255E0,-2.811793983E-1,1.316265613E-1
1.441789292E0,1.081848621E0,-1.478962749E-1,2.259900421E-1
1.451743292E0,8.427261114E-1,-7.622607797E-2,2.485195994E-1
1.461696292E0,6.149091721E-1,-4.385247082E-2,2.413146347E-1
1.471649292E0,4.214107990E-1,1.038067229E-2,2.974340916E-1
1.481603292E0,3.227072358E-1,2.962335944E-1,2.753509581E-1
1.491556292E0,3.346973062E-1,7.188773155E-1,1.004971340E-1
1.501509292E0,3.147826195E-1,1.421498656E0,-2.338907719E-1
1.511462292E0,5.653694645E-2,1.520297050E0,-3.703593910E-1
1.521416292E0,-2.220982462E-1,1.262606978E0,-1.042745784E-1
1.531369292E0,-3.194817901E-1,9.141799808E-1,2.542476356E-1
1.541322292E0,-2.478518486E-1,8.279883862E-1,3.803684115E-1
1.551276292E0,-1.269216985E-1,9.138599038E-1,2.577346265E-1
1.561229292E0,-5.176610127E-2,9.528674483E-1,4.054881632E-2
1.571182292E0,-3.006160259E-2,9.066285491E-1,-1.314967126E-1
1.581136292E0,-4.496371746E-2,8.214601874E-1,-2.197866440E-1
1.591089292E0,-7.225632668E-2,7.317164540E-1,-2.065424770E-1
1.601042292E0,-1.118438393E-1,7.128129005E-1,-1.474130005E-1
1.610996292E0,-1.980460882E-1,7.490776777E-1,-5.535204709E-2
1.620949292E0,-3.292786777E-1,8.326905966E-1,4.068974778E-2
1.630902292E0,-4.771869183E-1,9.772723317E-1,1.298901886E-1
1.640856292E0,-6.174131036E-1,1.091523051E0,1.977514625E-1
1.650809292E0,-6.966392398E-1,1.123616338E0,2.561918497E-1
1.660762292E0,-6.862022877E-1,1.071076632E0,2.992872894E-1
1.670716292E0,-6.312021613E-1,9.563945532E-1,3.547137976E-1
1.680669292E0,-5.600991249E-1,8.254143000E-1,4.356158078E-1
1.690622292E0,-5.104612708E-1,5.626546144E-1,6.013280749E-1
1.700576292E0,-4.780513942E-1,4.131293595E-1,7.760451436E-1
1.710529292E0,-4.609075785E-1,3.423398733E-1,8.589983582E-1
1.720482292E0,-4.697972834E-1,2.808450460E-1,8.667531610E-1
1.730435292E0,-5.261508226E-1,2.450843751E-1,8.234951496E-1
1.740389292E0,-5.778126717E-1,2.842748165E-1,7.701568604E-1
1.750342292E0,-6.527047753E-1,3.374445736E-1,7.181541324E-1
1.760295292E0,-7.667449713E-1,3.655490875E-1,6.810979247E-1
1.770249292E0,-8.600549698E-1,3.165402710E-1,6.552724838E-1
1.780202292E0,-8.718910217E-1,3.259419203E-1,6.554494500E-1
1.790155292E0,-8.571789265E-1,4.257704914E-1,6.778905988E-1
1.800109292E0,-8.416767120E-1,7.112203836E-1,7.187825441E-1
1.810062292E0,-9.264054298E-1,1.057840943E0,7.889595032E-1
1.820015292E0,-1.106659412E0,1.354353428E0,8.991492987E-1
1.829969292E0,-1.276043415E0,1.496549249E0,9.990944862E-1
1.839922292E0,-1.358686924E0,1.477390051E0,1.040866971E0
1.849875292E0,-1.264074683E0,1.212256670E0,1.036121488E0
1.859829292E0,-9.449780583E-1,7.613739967E-1,1.052260756E0
1.869782292E0,-4.271189272E-1,2.582003176E-1,1.085601449E0
1.879735292E0,1.773809493E-1,-1.656535119E-1,1.091163754E0
1.889689292E0,7.210093141E-1,-4.077465832E-1,1.052393436E0
1.899642292E0,9.914593697E-1,-4.893559217E-1,1.038173199E0
1.909595292E0,9.710267782E-1,-3.907632828E-1,1.049872756E0
1.919549292E0,7.470417023E-1,-1.120987982E-1,1.045111775E0
1.929502292E0,4.351940155E-1,2.692517638E-1,1.019436598E0
1.939455292E0,1.382250339E-1,6.768767834E-1,9.785478711E-1
1.949409292E0,-7.742442936E-2,9.905273318E-1,9.130266309E-1
1.959362292E0,-1.556219906E-1,1.175767660E0,8.376898766E-1
1.969315292E0,-1.279701144E-1,1.250838637E0,7.748792171E-1
1.979268292E0,-3.053860925E-2,1.198185086E0,7.678343058E-1
1.989222292E0,1.403066367E-1,1.091517568E0,7.558639050E-1
1.999175292E0,3.835523725E-1,9.864698052E-1,7.365556955E-1
2.009128292E0,6.189209223E-1,8.329311609E-1,6.729106903E-1
2.019082292E0,8.109169602E-1,7.107553482E-1,5.782637000E-1
2.029035292E0,9.117540717E-1,5.384014249E-1,5.307888389E-1
2.038988292E0,9.132807255E-1,3.248200119E-1,5.268890858E-1
2.048942292E0,8.718197942E-1,5.881523713E-2,5.131698251E-1
2.058895292E0,7.965071201E-1,-1.869004816E-1,4.715680182E-1
2.068848292E0,7.447717190E-1,-3.756158054E-1,4.004621506E-1
2.078802292E0,7.203260064E-1,-4.771803617E-1,3.238802552E-1
