"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.615766140E0,1.400997639E0,3.619742393E0,9.835099220E0
2.625766140E0,1.408176184E0,3.826721668E0,1.029272652E1
2.635766140E0,1.358525038E0,4.080360889E0,1.051107121E1
2.645766140E0,1.344168067E0,4.237689018E0,1.039621639E1
2.655766140E0,1.363310695E0,4.447659016E0,1.017607689E1
2.665766140E0,1.449452281E0,4.624728203E0,9.938589096E0
2.675766140E0,1.555334687E0,4.758127689E0,9.729216576E0
2.685766140E0,1.980658889E0,4.865206718E0,9.729216576E0
2.695766140E0,1.856232166E0,4.606781960E0,9.961918831E0
2.705766140E0,1.744965911E0,4.354339123E0,1.052004433E1
2.715766140E0,1.675574064E0,4.006781578E0,1.151725388E1
2.725766140E0,1.639681697E0,3.736392498E0,1.246241856E1
2.735766140E0,1.560120344E0,3.537788391E0,1.354038525E1
2.745766140E0,1.466800332E0,3.667598963E0,1.409791279E1
2.755766140E0,1.576271892E0,4.021138668E0,1.384547043E1
2.765766140E0,1.779063582E0,4.350151539E0,1.303071404E1
2.775766140E0,1.954337835E0,4.511068821E0,1.195872974E1
2.785766140E0,1.843071699E0,4.236492634E0,1.127557850E1
2.795766140E0,1.609771490E0,3.839283943E0,1.139282703E1
2.805766140E0,1.296909928E0,3.294916868E0,1.246421337E1
2.815766140E0,1.000798106E0,2.714657307E0,1.422772312E1
2.825766140E0,6.005984545E-1,2.008774519E0,1.582373619E1
2.835766140E0,5.096712112E-1,1.584048629E0,1.625743484E1
2.845766140E0,8.333004713E-1,1.344168067E0,1.554616833E1
2.855766140E0,8.440681696E-1,1.016351461E0,1.412423420E1
2.865766140E0,9.732806087E-1,1.262213945E0,1.255035496E1
2.875766140E0,1.068993568E0,1.674975872E0,1.078923702E1
2.885766140E0,1.317248821E0,1.711466432E0,9.565906525E0
2.895766140E0,1.276570916E0,1.657029629E0,8.968897820E0
2.905766140E0,1.383051515E0,1.575673699E0,8.659625053E0
2.915766140E0,1.219741344E0,1.613958836E0,8.824729919E0
2.925766140E0,1.132403374E0,1.609771490E0,9.234500885E0
2.935766140E0,9.595218897E-1,1.570888042E0,9.370891571E0
2.945766140E0,7.262216806E-1,1.584048629E0,9.138788223E0
2.955766140E0,6.939185858E-1,1.506880045E0,8.813961983E0
2.965766140E0,5.521438122E-1,1.490728498E0,8.368897438E0
2.975766140E0,4.438686073E-1,1.842473388E0,7.641479015E0
2.985766140E0,4.127618968E-1,1.913061738E0,6.924828529E0
