"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.428312375E0,-5.252807587E-2,3.904617727E-1,9.837956429E-1
1.438266375E0,-6.689742953E-2,3.652672172E-1,8.105314374E-1
1.448219375E0,3.424363211E-3,2.801288664E-1,6.544144154E-1
1.458173375E0,1.224050820E-1,1.822915077E-1,5.668073297E-1
1.468127375E0,2.407275736E-1,8.745238185E-2,5.649583936E-1
1.478080375E0,3.258794844E-1,3.209218383E-2,6.283011436E-1
1.488034375E0,3.503170609E-1,3.418220952E-2,7.523220778E-1
1.497988375E0,2.986570597E-1,8.108233660E-2,9.277487397E-1
1.507942375E0,2.079746127E-1,1.575563550E-1,1.114727259E0
1.517895375E0,1.240741238E-1,2.633895874E-1,1.231639743E0
1.527849375E0,9.983890504E-2,3.654377460E-1,1.268437862E0
1.537803375E0,1.396595538E-1,4.028386474E-1,1.283986211E0
1.547756375E0,1.967775226E-1,3.733018637E-1,1.245311260E0
1.557710375E0,2.775520086E-1,2.959280014E-1,1.158861041E0
1.567664375E0,3.557797968E-1,1.807014346E-1,1.086094975E0
1.577617375E0,3.836553693E-1,6.771361828E-2,1.055615902E0
1.587571375E0,3.591472208E-1,-3.105068766E-2,1.022485614E0
1.597525375E0,2.889875770E-1,-9.881375730E-2,1.002008796E0
1.607479375E0,1.826617718E-1,-1.208900660E-1,1.028627157E0
1.617432375E0,8.985008299E-2,-7.634416968E-2,1.102866173E0
1.627386375E0,5.315846205E-2,3.752330691E-2,1.196514845E0
1.637340375E0,1.049952954E-1,2.150480300E-1,1.313770652E0
1.647293375E0,2.415231168E-1,3.834910989E-1,1.447044849E0
1.657247375E0,4.281084538E-1,4.775989652E-1,1.581202984E0
1.667201375E0,5.602362752E-1,5.015891790E-1,1.702845573E0
1.677155375E0,5.649455190E-1,4.077747762E-1,1.776749611E0
1.687108375E0,4.221845269E-1,2.507718205E-1,1.708378077E0
1.697062375E0,1.912703663E-1,9.434600919E-2,1.477405667E0
1.707016375E0,-3.633788228E-2,-7.896197028E-3,1.178524375E0
1.716969375E0,-2.047300786E-1,-4.482145607E-2,9.723352194E-1
1.726923375E0,-2.720741928E-1,4.874206707E-2,9.480659366E-1
1.736877375E0,-1.989304721E-1,2.490810305E-1,1.009091020E0
1.746830375E0,4.911078140E-3,4.552942216E-1,1.085518837E0
1.756784375E0,2.210050225E-1,5.703481436E-1,1.170842052E0
1.766738375E0,3.044719994E-1,6.252171993E-1,1.234612823E0
1.776692375E0,2.423505634E-1,6.161062121E-1,1.256118536E0
1.786645375E0,1.129055321E-1,5.260367990E-1,1.190304160E0
1.796599375E0,-3.079091571E-2,3.908976316E-1,1.041814804E0
1.806553375E0,-1.486523449E-1,2.459319681E-1,9.197869897E-1
1.816505500E0,-2.106169164E-1,1.465579867E-1,8.829519749E-1
1.826459500E0,-1.902096868E-1,1.034601703E-1,8.223168254E-1
1.836413500E0,-1.142342389E-1,1.156696975E-1,7.733359337E-1
1.846367500E0,-4.471204057E-2,1.660798490E-1,7.690184712E-1
1.856320500E0,-2.014065348E-2,2.313006520E-1,7.691409588E-1
1.866274500E0,-4.837344959E-2,2.876245379E-1,7.575981617E-1
1.876228500E0,-1.070386246E-1,3.233061135E-1,7.646853924E-1
1.886181500E0,-1.610111147E-1,3.208581209E-1,7.939714193E-1
1.896135500E0,-1.913141608E-1,2.990417778E-1,8.237074614E-1
1.906089500E0,-1.909885556E-1,2.451400906E-1,8.407345414E-1
1.916043500E0,-1.470059156E-1,1.530365348E-1,8.530295491E-1
1.925996500E0,-8.814365417E-2,2.146628685E-2,9.773653746E-1
1.935950500E0,-4.147708043E-2,-2.605675720E-2,1.150311470E0
1.945904500E0,1.164035406E-2,5.824287422E-3,1.102599859E0
1.955857500E0,5.186660215E-2,1.216235906E-1,9.802384377E-1
1.965811500E0,5.363450944E-2,2.686478198E-1,9.415197372E-1
1.975765500E0,1.638700627E-2,4.070599973E-1,9.943872690E-1
1.985718500E0,-2.475626394E-2,4.938056171E-1,1.050027490E0
1.995672500E0,-4.832257703E-2,5.056055784E-1,1.102981567E0
2.005626500E0,-4.642766714E-2,4.544747472E-1,1.147758603E0
2.015580500E0,-2.229410037E-2,3.518772721E-1,1.151791692E0
2.025533500E0,5.964608397E-3,2.168506384E-1,1.135424376E0
2.035487500E0,2.080986835E-2,6.959594786E-2,1.273936987E0
2.045441500E0,-2.225787379E-2,-2.655385807E-2,1.254346132E0
2.055394500E0,-6.769273430E-2,-3.471405059E-2,1.077995062E0
2.065348500E0,-1.019248962E-1,5.742495134E-2,9.449157715E-1
2.075302500E0,-1.023794860E-1,2.074416131E-1,9.129080176E-1
2.085256500E0,-7.881116867E-2,3.473441005E-1,9.267179966E-1
2.095209500E0,-7.184753567E-2,4.143756032E-1,9.368981719E-1
2.105163500E0,-7.798216492E-2,4.054638743E-1,9.510820508E-1
2.115117500E0,-6.745468825E-2,3.321126699E-1,9.647470117E-1
2.125070500E0,-3.568668291E-2,2.221475393E-1,9.251940846E-1
2.135024500E0,-1.036694460E-2,8.411163092E-2,8.435850143E-1
2.144978500E0,-2.415994555E-2,-5.654799566E-2,7.398835421E-1
2.154931500E0,-3.744166344E-2,-1.948920190E-1,6.278675199E-1
2.164885500E0,-3.855339065E-2,-3.062269092E-1,5.394942760E-1
2.174839500E0,-5.697846785E-2,-3.017631769E-1,5.008110404E-1
