"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.692969192E0,-1.201496124E-1,-5.217121542E-2,-3.080065012E0
1.702969225E0,-4.472255707E-2,-8.814443648E-2,-3.106215477E0
1.712969225E0,-1.264219284E-1,-1.364607364E-1,-3.117765427E0
1.722969225E0,-4.284305573E-1,-4.133008420E-1,-3.120896816E0
1.732969691E0,-5.787515640E-1,-4.798135757E-1,-3.121993303E0
1.742969691E0,-8.451051712E-1,-5.518307686E-1,-3.322939873E0
1.752969691E0,-1.080097198E0,-4.079133272E-1,-3.441548109E0
1.762969691E0,-1.525990486E0,-2.658174634E-1,-3.613926888E0
1.772969691E0,-1.643721581E0,-1.782481670E-1,-3.718116283E0
1.782969657E0,-1.553951263E0,-1.961808205E-1,-3.800546169E0
1.792969657E0,-1.268046379E0,-2.454761267E-1,-3.788681507E0
1.802969657E0,-8.770027161E-1,-3.776148558E-1,-3.701982021E0
1.812969657E0,-5.081748962E-1,-3.398629427E-1,-3.576700926E0
1.822969657E0,-2.006769180E-1,-2.964106798E-1,-3.362113237E0
1.832969623E0,-8.426856995E-2,-2.636983395E-1,-3.245880604E0
1.842969623E0,-4.662895203E-2,-3.120694160E-1,-3.182177305E0
1.852969623E0,-6.913185120E-2,-3.460314274E-1,-3.182912111E0
1.862969623E0,-1.351585388E-1,-4.264197350E-1,-3.274645567E0
1.872969623E0,-2.084999084E-1,-3.286478519E-1,-3.321404457E0
1.882969623E0,-3.482904434E-1,-1.730060577E-1,-3.358929634E0
1.892969623E0,-4.436435699E-1,-6.679153442E-2,-3.384426355E0
1.902969623E0,-5.244379044E-1,-1.848435402E-2,-3.475258350E0
1.912969623E0,-5.813617706E-1,-1.382369995E-1,-3.539146900E0
1.922969623E0,-6.721715927E-1,-3.756024837E-1,-3.526896715E0
1.932969623E0,-6.281366348E-1,-5.801696777E-1,-3.463038921E0
1.942969623E0,-3.972997665E-1,-8.282954693E-1,-3.281194448E0
1.952969623E0,-1.745033264E-2,-8.685398102E-1,-3.186256886E0
1.962969623E0,5.799612999E-1,-8.643016815E-1,-3.141125679E0
1.972969623E0,9.815602303E-1,-7.505729198E-1,-3.122183561E0
1.982969656E0,1.370733261E0,-4.604425430E-1,-3.162976265E0
1.992969689E0,1.417882442E0,-2.740800381E-1,-3.195211172E0
2.002969655E0,1.250411034E0,3.521800041E-2,-3.245124578E0
2.012969655E0,1.146560192E0,1.888008118E-1,-3.319823980E0
2.022969655E0,9.888839722E-1,2.864944935E-1,-3.396273375E0
2.032969188E0,8.037376404E-1,1.949374676E-1,-3.416277170E0
2.042969188E0,6.269073486E-1,4.518389702E-2,-3.378377914E0
2.052969188E0,5.497484207E-1,-1.180543900E-1,-3.377696037E0
2.062969188E0,4.696521759E-1,-2.329361439E-1,-3.371943474E0
2.072969188E0,4.896802902E-1,-2.569680214E-1,-3.300437927E0
2.082969021E0,4.111099243E-1,-2.244253159E-1,-3.177495003E0
2.092969021E0,2.991456985E-1,-2.808620930E-1,-3.113830566E0
2.102969021E0,6.320095062E-2,-4.057185650E-1,-3.050812244E0
2.112969021E0,4.430961609E-2,-5.544376373E-1,-2.965731859E0
2.122969021E0,-1.020889282E-1,-5.872468948E-1,-2.898562908E0
2.132969021E0,-7.656574249E-2,-5.998747349E-1,-2.917997837E0
2.142969021E0,-2.305212021E-1,-6.682150364E-1,-2.862842798E0
2.152969021E0,-2.024717331E-1,-5.723392963E-1,-2.803246737E0
2.162969021E0,6.950378418E-2,-4.125097990E-1,-2.923288822E0
2.172969021E0,3.889369965E-2,-2.685769796E-1,-2.999987602E0
2.182969021E0,-3.091955185E-1,-1.471575499E-1,-3.166471481E0
2.192969021E0,-5.213241577E-1,-9.847795963E-2,-3.262291193E0
2.202969021E0,-7.277736664E-1,3.877711296E-2,-3.366903782E0
2.212969021E0,-6.769781113E-1,1.312900782E-1,-3.425791025E0
2.222969021E0,-4.390554428E-1,3.703776002E-1,-3.578239918E0
2.232969054E0,-3.898134232E-1,4.689040780E-1,-3.534744501E0
2.242969054E0,-4.685344696E-1,7.234253883E-1,-3.408108473E0
2.252969054E0,-6.913928986E-1,7.335717678E-1,-3.287622213E0
2.262969054E0,-8.496322632E-1,7.501894236E-1,-3.176976442E0
2.272969054E0,-9.778757095E-1,7.441688776E-1,-3.122265816E0
2.282969020E0,-9.280185699E-1,7.019833326E-1,-3.159203053E0
2.292968986E0,-8.456029892E-1,6.285290718E-1,-3.164431572E0
2.302968986E0,-7.935724258E-1,6.044663787E-1,-3.114871502E0
2.312969819E0,-6.956129074E-1,5.402306318E-1,-3.120742321E0
2.322969819E0,-5.099534988E-1,4.373840094E-1,-3.077223301E0
2.332969819E0,-3.852796555E-1,3.510328531E-1,-3.037796974E0
2.342969819E0,-3.596229553E-1,3.718850613E-1,-2.940088511E0
2.352969819E0,-4.176168442E-1,3.138021231E-1,-2.870624065E0
2.362969819E0,-4.034767151E-1,4.742147923E-1,-2.747079849E0
2.372969819E0,-2.605133057E-1,5.381125212E-1,-2.801563263E0
2.382969985E0,-2.407464981E-1,8.314476013E-1,-2.880570650E0
2.392969985E0,-4.098167419E-1,1.197404623E0,-3.014759541E0
2.402969985E0,-5.804452896E-1,1.509622812E0,-3.128119230E0
2.412969985E0,-4.442186356E-1,1.560203314E0,-3.096757174E0
2.422969985E0,8.834648132E-2,1.258382559E0,-2.964775562E0
2.432969985E0,4.303207397E-1,7.364752293E-1,-2.794737816E0
2.442969985E0,2.100296021E-1,2.398586273E-1,-2.511111975E0
2.452969985E0,-2.008104324E-1,-1.315577030E-1,-2.392001629E0
2.462969985E0,-6.939125061E-1,-4.202585220E-1,-2.354424953E0
2.472969985E0,-8.492984772E-1,-5.006353855E-1,-2.420313358E0
2.482970018E0,-6.817169189E-1,2.206912041E-1,-2.717700720E0
2.492970018E0,-5.776829720E-1,6.419420242E-1,-2.850926876E0
2.502970018E0,-6.701073647E-1,4.657282829E-1,-2.841921329E0
2.512970018E0,-2.677121162E-1,1.490458488E0,-3.301005602E0
2.522970018E0,6.062889099E-2,1.289933205E0,-3.416173458E0
2.532969984E0,3.054461479E-1,9.444646835E-1,-3.391845703E0
2.542969984E0,4.779086113E-1,5.309829712E-1,-3.221195459E0
