"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.225446662E0,8.582275510E-1,-3.894970894E0,-2.658788681E0
2.242451667E0,1.035431147E0,-4.042916298E0,-3.734969139E0
2.259440345E0,1.292476654E0,-4.028118134E0,-4.415371895E0
2.276462329E0,1.195675850E0,-4.080156326E0,-4.747859001E0
2.293463550E0,1.296953678E0,-4.032236099E0,-4.913886547E0
2.310471779E0,1.388737798E0,-3.805969715E0,-4.769822598E0
2.327481820E0,1.515498757E0,-3.440204859E0,-4.472230911E0
2.344481435E0,1.621046185E0,-3.091358185E0,-4.247473240E0
2.361486704E0,1.585503459E0,-2.675884962E0,-3.609530449E0
2.378497447E0,1.560188532E0,-2.266737938E0,-2.515427589E0
2.395484742E0,1.601356149E0,-1.850053787E0,-1.551053047E0
2.412485678E0,1.728418946E0,-1.541195631E0,-5.066890717E-1
2.429506827E0,1.731896877E0,-1.198586464E0,5.959224701E-1
2.446511853E0,1.826812267E0,-8.777623177E-1,1.379360199E0
2.463516818E0,2.084527493E0,-6.023044586E-1,1.481972694E0
2.480520917E0,2.364109516E0,-3.621115685E-1,1.254899025E0
2.497512728E0,2.505383492E0,-1.755237579E-1,1.443948746E0
2.514531853E0,2.317403316E0,-2.607049942E-1,2.996801376E0
2.531539676E0,1.981271982E0,-3.225474358E-1,5.262743950E0
2.548531722E0,1.881153941E0,-5.799770355E-3,6.672583580E0
2.565544449E0,2.098935366E0,4.572672844E-1,6.396750450E0
2.582551855E0,2.339888096E0,5.856757164E-1,5.159890175E0
2.599553879E0,2.034361839E0,1.660363674E-1,4.685342789E0
2.616561632E0,1.359167099E0,-5.335497856E-1,6.100308418E0
2.633566922E0,9.957624078E-1,-1.343449116E0,7.484772682E0
2.650571936E0,1.131285071E0,-2.093989372E0,6.611524582E0
2.667576972E0,1.467536569E0,-2.409364700E0,3.857386589E0
2.684581795E0,1.684020877E0,-2.525207043E0,1.222846031E0
2.701591764E0,1.710223198E0,-2.644610882E0,2.648830414E-1
2.718591937E0,1.514492750E0,-2.759816170E0,4.909162521E-1
2.735601033E0,1.169960141E0,-2.816975355E0,8.668212891E-1
2.752601663E0,7.419034839E-1,-2.769857168E0,6.021690369E-1
2.769607034E0,3.359389007E-1,-2.848335743E0,-3.780364990E-1
2.786611969E0,9.251743555E-3,-2.985616922E0,-1.659831047E0
2.803620210E0,-1.954386234E-1,-3.127243042E0,-2.882209778E0
2.820621908E0,-3.861707449E-1,-3.164084196E0,-3.906615734E0
2.837610790E0,-4.492154717E-1,-3.105449200E0,-4.559719086E0
2.854619214E0,-6.375783682E-1,-3.076085329E0,-4.803571701E0
2.871637108E0,-6.414046884E-1,-3.003316402E0,-4.956141472E0
2.888645103E0,-2.828930616E-1,-2.761687756E0,-5.018969059E0
2.905647159E0,-3.998441100E-1,-2.780664921E0,-4.870404720E0
2.922652185E0,-4.466306567E-1,-2.474886417E0,-4.272686005E0
2.939655888E0,-4.516891241E-1,-2.036274195E0,-3.636035919E0
2.956661819E0,-2.840864658E-1,-1.448255777E0,-3.209989548E0
2.973669001E0,-9.328687191E-2,-8.214483261E-1,-2.842954159E0
2.990675705E0,-1.099908352E-2,-3.006000519E-1,-2.194471836E0
3.007677119E0,1.006770134E-2,1.379766464E-1,-1.014940262E0
3.024672573E0,-4.210758209E-2,5.494303703E-1,3.908290863E-1
3.041689988E0,-4.525649548E-2,8.874278069E-1,1.817786217E0
3.058692247E0,-5.928289890E-2,1.196653366E0,3.315897942E0
3.075681750E0,-3.805433512E-1,1.237026215E0,5.070745468E0
3.092701912E0,-4.899435043E-1,1.164687157E0,6.141444206E0
3.109707314E0,-5.706275702E-1,1.047517300E0,6.459967613E0
3.126712147E0,-3.206237555E-1,1.332087517E0,5.826606750E0
3.143714172E0,-2.523388863E-1,1.593461990E0,4.620270729E0
3.160722066E0,-4.412590265E-1,1.730275631E0,3.541979790E0
3.177727223E0,-6.994707584E-1,1.400322437E0,4.231148720E0
3.194735861E0,1.750457287E-2,7.732968330E-1,6.109492302E0
3.211750245E0,-2.030820847E-1,-4.698174000E-1,7.113751411E0
3.228729228E0,-6.516172886E-1,-1.332042694E0,6.377764702E0
3.245750551E0,-9.124816656E-1,-1.806198120E0,3.447503090E0
3.262752453E0,-1.126656890E0,-2.106840611E0,6.515712738E-1
3.279752484E0,-1.116684198E0,-2.372414589E0,-4.272193909E-1
3.296748966E0,-9.201164246E-1,-2.658433914E0,2.663002014E-1
3.313767286E0,-9.749249220E-1,-2.850333214E0,1.030114174E0
3.330777825E0,-1.036508322E0,-3.184248447E0,1.018515587E0
3.347780592E0,-1.226095796E0,-3.591754436E0,2.668094635E-1
3.364782017E0,-1.299594045E0,-3.924214602E0,-1.121764660E0
3.381787236E0,-8.040913343E-1,-3.967041969E0,-2.599752426E0
3.398794500E0,8.134214580E-2,-3.673544645E0,-3.871751785E0
3.415797471E0,5.793514848E-1,-3.469956398E0,-4.612842560E0
3.432798844E0,6.247573495E-1,-3.440342426E0,-4.987978458E0
3.449807441E0,4.897279441E-1,-3.229618549E0,-5.107681274E0
3.466794298E0,5.954010487E-1,-2.989809036E0,-4.947151661E0
3.483814054E0,7.232808471E-1,-2.662322998E0,-4.602115154E0
3.500822060E0,8.442543149E-1,-2.409282446E0,-4.066179276E0
3.517811460E0,9.895423055E-1,-2.132200718E0,-3.567218781E0
3.534836231E0,1.025055647E0,-1.869122982E0,-2.948599339E0
3.551837411E0,9.872086048E-1,-1.630725145E0,-1.951180458E0
3.568842264E0,9.585800171E-1,-1.430068731E0,-6.184244156E-1
3.585849528E0,1.190228581E0,-1.207000732E0,5.479192734E-1
3.602855480E0,1.529436350E0,-8.661623001E-1,1.547572136E0
3.619873667E0,1.934974194E0,-4.580917358E-1,2.010827065E0
3.636847515E0,2.265033722E0,-2.236404419E-1,2.029633522E0
3.653867556E0,2.675267935E0,-1.972565651E-1,2.042656898E0
3.670872561E0,2.666244268E0,-4.569754601E-1,2.515283585E0
3.687877443E0,2.364815712E0,-8.458533287E-1,3.780891418E0
3.704882317E0,2.246806145E0,-7.268729210E-1,5.164340973E0
3.721874911E0,2.449587822E0,-1.860289574E-1,5.424479485E0
3.738882257E0,2.595751047E0,-1.319842339E-1,4.952760696E0
3.755897618E0,2.130747080E0,-6.760535240E-1,5.155049324E0
3.772899073E0,1.535902500E0,-1.285930395E0,6.943641663E0
3.789905848E0,1.509873271E0,-1.891081333E0,8.326233864E0
3.806912674E0,1.774363041E0,-2.365891457E0,6.945487022E0
3.823912919E0,2.051901102E0,-2.549357891E0,3.376674652E0
3.840922319E0,2.225007296E0,-2.715451717E0,5.479860306E-1
3.857927537E0,2.134613991E0,-3.123332500E0,-6.809034348E-1
3.874929451E0,1.744522572E0,-3.465057611E0,-6.173515320E-1
3.891937701E0,1.274379611E0,-3.631362438E0,-3.577728271E-1
3.908925453E0,9.203038216E-1,-3.721118927E0,-9.359178543E-1
3.925947630E0,4.198831618E-1,-3.682507515E0,-2.144720078E0
3.942952686E0,-1.131283939E-1,-3.646743059E0,-3.596368313E0
3.959957671E0,-6.371170878E-1,-3.497599602E0,-4.719007969E0
3.976965586E0,-9.652717710E-1,-3.108758450E0,-4.982180119E0
3.993951273E0,-1.104616761E0,-2.581687927E0,-4.524679661E0
4.010970144E0,-1.091180921E0,-1.992577553E0,-3.873311043E0
4.027978027E0,-1.133403182E0,-1.459504843E0,-3.472359180E0
4.044988649E0,-1.149495959E0,-1.036334991E0,-3.429389477E0
4.061988700E0,-9.786249399E-1,-6.257164478E-1,-3.553901672E0
4.078992626E0,-8.026908636E-1,-1.519436836E-1,-3.416990280E0
4.096001417E0,-6.618723869E-1,2.815868855E-1,-3.124570847E0
4.113002485E0,-5.078749657E-1,6.408553123E-1,-2.692194939E0
4.130007764E0,-4.700382948E-1,9.460520744E-1,-1.811244011E0
4.147001408E0,-5.419185162E-1,1.305740833E0,-4.481353760E-1
4.164017725E0,-4.965646267E-1,1.661104202E0,8.183813095E-1
4.181022435E0,-5.120819807E-1,1.843738556E0,2.121997833E0
4.198025497E0,-6.327900887E-1,1.944165707E0,3.533390045E0
4.215020879E0,-8.290224075E-1,1.806461096E0,5.045248985E0
4.232020951E0,-1.015941143E0,1.549337149E0,6.210926056E0
4.249037533E0,-1.104655147E0,1.152371883E0,6.790817261E0
4.266047859E0,-9.536348581E-1,9.318811893E-1,6.746014595E0
4.283040890E0,-5.506410599E-1,1.153126955E0,5.762390137E0
4.300055783E0,-4.780507088E-1,1.285331964E0,4.312143326E0
4.317062691E0,-1.024624467E0,9.393031597E-1,3.758502960E0
4.334074838E0,-1.409206748E0,-6.332468987E-2,4.751862526E0
4.351072823E0,-1.229659438E0,-1.247559786E0,6.139279366E0
4.368077828E0,-9.653966427E-1,-1.766588688E0,6.077316284E0
4.385082530E0,-7.548863292E-1,-2.270696640E0,3.616135597E0
4.402087870E0,-9.373813272E-1,-2.883196354E0,5.658044815E-1
4.419079844E0,-1.101778388E0,-3.349076509E0,-1.104827404E0
4.436094484E0,-1.088262081E0,-3.788826466E0,-1.133861542E0
4.453102591E0,-1.028397322E0,-4.190297127E0,-4.290523529E-1
4.470098675E0,-6.591714621E-1,-4.382946491E0,5.147647858E-2
4.487116091E0,-1.719501317E-1,-4.437401772E0,-2.241878510E-1
4.504117902E0,3.499735296E-1,-4.377742767E0,-1.389014721E0
4.521111402E0,7.123118639E-1,-4.254487514E0,-2.781607151E0
4.538127922E0,7.215281725E-1,-4.254656792E0,-3.794706821E0
4.555132887E0,4.829772413E-1,-4.427722454E0,-4.406194210E0
4.572137842E0,5.795800090E-1,-3.928108692E0,-4.675245285E0
4.589142521E0,5.364367366E-1,-3.569326162E0,-5.108961105E0
4.606147944E0,-6.827334166E-1,-3.992547750E0,-5.356517792E0
4.623152054E0,8.607258797E-1,-3.332435131E0,-5.759575844E0
4.640158036E0,1.318579674E0,-1.736089468E0,-5.294594765E0
4.657162411E0,1.389093161E0,-1.402979374E0,-3.977953911E0
4.674168434E0,1.115242243E0,-1.053982258E0,-2.315691948E0
4.691172980E0,6.705400944E-1,-8.140108585E-1,-8.485298157E-1
4.708162157E0,8.397952914E-1,-5.962142944E-1,1.309852600E-1
4.725182687E0,1.088441133E0,-8.458185196E-2,1.125044823E0
4.742187926E0,1.306852341E0,1.636171341E-1,1.527259827E0
4.759196115E0,1.473482966E0,3.142042160E-1,2.042734146E0
4.776197967E0,1.676767588E0,6.371233463E-1,2.742201805E0
4.793186919E0,2.051090002E0,8.080821037E-1,3.116151810E0
4.810209858E0,2.311683893E0,5.266308784E-1,3.398601532E0
4.827211366E0,2.345221519E0,-8.091926575E-3,4.125096321E0
4.844217907E0,1.917662859E0,-1.830708981E-1,5.206522942E0
4.861226207E0,1.582839251E0,1.945402622E-1,5.531719208E0
4.878216930E0,1.924830914E0,5.148248672E-1,4.948435783E0
4.895232943E0,2.326994419E0,3.319969177E-1,4.715400696E0
4.912237958E0,2.310352087E0,-5.002293587E-1,5.610502243E0
4.929242740E0,1.950425625E0,-1.586876154E0,7.178107262E0
4.946247908E0,1.913902164E0,-2.344863176E0,7.280944824E0
4.963253015E0,2.267971992E0,-2.685445547E0,4.835768700E0
4.980249536E0,2.522234917E0,-2.648700714E0,1.562930107E0
4.997263209E0,2.425292015E0,-2.566711903E0,-2.956476212E-1
5.014268061E0,1.827498198E0,-2.607450724E0,-5.684871674E-1
5.031273005E0,1.055019140E0,-2.684751511E0,1.600217819E-1
5.048272599E0,4.997203946E-1,-2.858737707E0,8.193721771E-1
5.065282670E0,5.655425787E-2,-3.019638777E0,6.021461487E-1
5.082287951E0,-2.904332876E-1,-3.253378630E0,-6.030979156E-1
