"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.419984228E0,-7.559457328E-3,-9.453139454E-2,3.329979181E-1
1.429984228E0,3.825543448E-2,7.223481685E-2,6.292675734E-1
1.439984194E0,1.304960847E-1,3.452915847E-1,9.066003561E-1
1.449984194E0,1.543198377E-1,3.947716653E-1,9.847911596E-1
1.460036615E0,1.555415690E-1,3.740022480E-1,9.811259508E-1
1.470036615E0,1.268308908E-1,3.159700334E-1,9.292023778E-1
1.480036615E0,7.673994452E-2,2.878702581E-1,9.029352069E-1
1.490036615E0,-4.505131394E-3,3.367394805E-1,9.511935711E-1
1.500036615E0,-9.491318464E-2,3.819434941E-1,1.067258000E0
1.510036615E0,-1.926516294E-1,3.703370690E-1,1.213865638E0
1.520036615E0,-2.818379402E-1,3.422372639E-1,1.356808066E0
1.530036781E0,-3.380375504E-1,2.774855494E-1,1.469207287E0
1.540036781E0,-3.478114009E-1,2.243402600E-1,1.551674128E0
1.550036781E0,-3.099377453E-1,2.176207453E-1,1.616425753E0
1.560036781E0,-2.231948823E-1,2.438879460E-1,1.657964587E0
1.570036781E0,-1.028544381E-1,2.695443034E-1,1.689118743E0
1.580036781E0,3.275764734E-2,2.487748712E-1,1.705612063E0
1.590036781E0,2.037999183E-1,1.876883507E-1,1.670181990E0
1.600036781E0,2.654972970E-1,1.864666194E-1,1.612760663E0
1.610036781E0,2.795472145E-1,1.931861341E-1,1.551063180E0
1.620036781E0,2.398409694E-1,2.060143054E-1,1.516854763E0
1.630036747E0,1.555415690E-1,2.151772827E-1,1.520519972E0
1.640036780E0,5.841398984E-2,1.455386430E-1,1.544343710E0
1.650036780E0,-2.160935849E-2,4.596760869E-2,1.552284956E0
1.660036780E0,-6.742425263E-2,-4.444044828E-2,1.546787143E0
1.670036780E0,-7.047858089E-2,-1.128573567E-1,1.564502239E0
1.680036780E0,-3.565925732E-2,-1.055269688E-1,1.627421379E0
1.690036780E0,1.382082608E-2,-8.964447677E-2,1.725159764E0
1.700036780E0,5.108360574E-2,-7.131851465E-2,1.825952530E0
1.710036780E0,3.947716579E-2,5.207626149E-2,1.917582393E0
1.720036780E0,-3.138320148E-2,1.840231568E-1,1.985388398E0
1.730036780E0,-9.369145334E-2,2.249511331E-1,2.006768703E0
1.740036780E0,-1.492801905E-1,2.115120888E-1,1.968895078E0
1.750036780E0,-1.517236531E-1,2.377792895E-1,1.937130094E0
1.760036780E0,-1.401172131E-1,3.422372639E-1,1.962175488E0
1.770036780E0,-1.181260645E-1,4.949535728E-1,2.042198896E0
1.780036780E0,-7.108944654E-2,6.531676650E-1,2.130774260E0
1.790036780E0,1.992947794E-2,7.625125647E-1,2.170480490E0
1.800036780E0,1.482111812E-1,8.174903989E-1,2.125276566E0
1.810036780E0,2.862667143E-1,8.126034737E-1,2.031203270E0
1.820036780E0,4.023311138E-1,7.191411257E-1,1.953623414E0
1.830036780E0,4.530329406E-1,6.049093008E-1,1.948736548E0
1.840036780E0,4.255439937E-1,5.120577812E-1,2.015931606E0
1.850036780E0,3.308598995E-1,4.644103050E-1,2.119167805E0
1.860036780E0,1.934152097E-1,5.120577812E-1,2.220571518E0
1.870036780E0,4.375322163E-2,5.969680548E-1,2.298762321E0
1.880036780E0,-8.147415519E-2,6.580545902E-1,2.340301037E0
1.890036813E0,-1.847103834E-1,7.576256394E-1,2.336025000E0
1.900036813E0,-1.902081668E-1,7.893906236E-1,2.328083754E0
1.910036813E0,-1.596648991E-1,7.912232280E-1,2.330527306E0
1.920036813E0,-1.083522215E-1,8.174903989E-1,2.332970619E0
1.930036813E0,-7.292203605E-2,8.749117255E-1,2.352518320E0
1.940036779E0,-7.475463301E-2,8.688030839E-1,2.402609348E0
1.950036779E0,-1.089630872E-1,7.802276611E-1,2.472858906E0
1.960036779E0,-1.572214365E-1,6.885978580E-1,2.519895554E0
1.970036779E0,-2.005928755E-1,6.134614348E-1,2.508899927E0
1.980036779E0,-2.506838143E-1,5.511531830E-1,2.455754757E0
1.990036779E0,-3.026073575E-1,5.090034604E-1,2.325029373E0
2.000036779E0,-3.380375504E-1,3.813326359E-1,2.154597998E0
2.010036779E0,-3.374266922E-1,2.768746614E-1,1.883984804E0
2.020036779E0,-3.093268871E-1,2.090686262E-1,1.618258357E0
2.030036779E0,-2.964987159E-1,8.567385375E-2,1.411785960E0
2.040036779E0,-3.313180506E-1,-9.758572280E-2,1.257237077E0
2.050036779E0,-3.649156392E-1,-1.751656085E-1,1.218752503E0
2.060036779E0,-3.991240859E-1,-1.794416606E-1,1.216919899E0
2.070036779E0,-4.290564656E-1,-1.476766765E-1,1.260291338E0
