"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.319227667E0,-2.573531866E-1,-1.864287853E-1,9.874636531E-1
1.329180667E0,-2.455520630E-1,-1.497199982E-1,1.099451303E0
1.339134667E0,-2.086060345E-1,-1.755284220E-1,1.158281684E0
1.349087667E0,-9.051840007E-2,-1.701947898E-1,1.137836099E0
1.359041667E0,3.923373297E-4,-1.453967541E-1,1.042568684E0
1.368994667E0,6.422406435E-2,-1.151928753E-1,8.917049766E-1
1.378948667E0,8.394690603E-2,-9.106543660E-2,7.207635641E-1
1.388901667E0,5.999000371E-2,-7.564672828E-2,6.118856072E-1
1.398855667E0,6.258867215E-3,-5.952635035E-2,5.653181076E-1
1.408808667E0,-5.951380357E-2,-4.675107077E-2,5.801404715E-1
1.418762667E0,-1.078190207E-1,-6.572476029E-2,6.510194540E-1
1.428714208E0,-1.338683218E-1,-1.117302924E-1,7.284342647E-1
1.438668208E0,-1.643564552E-1,-1.679597497E-1,8.165955544E-1
1.448621208E0,-1.078638211E-1,-2.569233775E-1,9.485454559E-1
1.458575208E0,-4.906549305E-2,-3.440161943E-1,1.074979782E0
1.468528208E0,-2.002463490E-2,-3.990964293E-1,1.165170670E0
1.478482208E0,9.822210297E-3,-4.379154742E-1,1.211219668E0
1.488435208E0,-1.957157161E-3,-4.440365136E-1,1.212252975E0
1.498389208E0,-1.847195253E-2,-4.068966210E-1,1.153658867E0
1.508342208E0,-4.751178250E-2,-3.498426676E-1,1.058371902E0
1.518296208E0,-7.123176008E-2,-2.861275971E-1,9.477877021E-1
1.528249208E0,-9.097336233E-2,-2.349985093E-1,8.498567939E-1
1.538203208E0,-9.776362032E-2,-1.947605461E-1,7.855510116E-1
1.548156208E0,-1.096732616E-1,-2.277949303E-1,7.538414001E-1
1.558110208E0,-7.501994073E-2,-1.887228936E-1,7.620103955E-1
1.568063208E0,-5.222817883E-2,-2.469712496E-1,8.112451434E-1
1.578016208E0,-3.678217530E-3,-3.187639713E-1,8.810740709E-1
1.587970208E0,-1.318803430E-2,-3.720358014E-1,9.480975270E-1
1.597923208E0,-1.045403257E-2,-3.974330425E-1,1.005686998E0
1.607877208E0,-3.512498736E-2,-3.823878169E-1,1.023229241E0
1.617830208E0,-5.304646119E-2,-3.388096988E-1,1.003779054E0
1.627784208E0,-6.611481309E-2,-2.609666586E-1,9.723882675E-1
1.637737208E0,-8.008123189E-2,-1.608741581E-1,9.461614490E-1
1.647691208E0,-9.928418696E-2,-5.969658867E-2,9.200685024E-1
1.657644208E0,-1.079106927E-1,-4.190717358E-3,9.082805514E-1
1.667598208E0,-8.092526346E-2,-3.247217508E-3,9.161364436E-1
1.677551208E0,-3.644993901E-2,-5.042884499E-2,9.285020828E-1
1.687505208E0,6.488568615E-3,-1.193938255E-1,9.167882204E-1
1.697458208E0,3.000214882E-2,-1.911455095E-1,8.813024163E-1
1.707412208E0,9.279347956E-3,-2.472387999E-1,8.145959377E-1
1.717365208E0,-4.498388991E-2,-2.680375576E-1,7.446232438E-1
1.727319208E0,-9.442619979E-2,-2.629987895E-1,6.978425980E-1
1.737272208E0,-1.245806366E-1,-2.335098684E-1,6.808670759E-1
1.747226208E0,-1.305706352E-1,-1.910106987E-1,6.778048873E-1
1.757179208E0,-1.365654171E-1,-1.317572296E-1,6.789175868E-1
1.767133208E0,-1.422518492E-1,-8.672759682E-2,6.821371317E-1
1.777086208E0,-1.357556134E-1,-6.816536188E-2,6.837936044E-1
1.787040208E0,-1.101070866E-1,-8.603087068E-2,6.972755790E-1
1.796993208E0,-8.276547492E-2,-1.291056424E-1,7.210914493E-1
1.806947208E0,-5.684781447E-2,-1.803368032E-1,7.474480867E-1
1.816900208E0,-7.383478433E-2,-2.641930878E-1,7.341642380E-1
1.826854208E0,-6.074280292E-2,-2.387938499E-1,7.159840465E-1
1.836807208E0,-9.107247740E-2,-2.310722768E-1,6.946529746E-1
1.846761208E0,-7.985889912E-2,-2.097761482E-1,6.452522874E-1
1.856714208E0,-7.941708714E-2,-1.704401970E-1,5.751711726E-1
1.866668208E0,-5.292537436E-2,-1.216852516E-1,5.261459947E-1
1.876621208E0,-3.708222508E-2,-6.401742995E-2,5.045375824E-1
1.886575208E0,-2.522528172E-2,-2.089313418E-2,5.011065006E-1
1.896528208E0,-1.436837297E-2,-3.602295183E-3,5.204639435E-1
1.906482208E0,1.094517298E-3,-2.628027834E-2,5.626063943E-1
1.916435208E0,7.597423624E-3,-7.694078982E-2,5.940521955E-1
1.926389208E0,-2.870399738E-3,-1.260525733E-1,6.239839792E-1
1.936342208E0,-1.921608299E-2,-1.555076838E-1,6.474443078E-1
1.946296208E0,-3.804802522E-2,-1.667725295E-1,6.317195892E-1
1.956249208E0,-4.889667779E-2,-1.531171650E-1,5.990514159E-1
1.966203208E0,-5.712083727E-2,-1.287450492E-1,5.678843260E-1
1.976156208E0,-5.649020150E-2,-9.224881977E-2,5.428705812E-1
1.986109208E0,-6.336867064E-2,-5.998487771E-2,5.397583246E-1
1.996063208E0,-6.413459778E-2,-3.748089820E-2,5.508950949E-1
2.006016208E0,-6.894712150E-2,-3.609208390E-2,5.777709484E-1
2.015970208E0,-6.209906563E-2,-6.572774053E-2,6.130213737E-1
2.025923208E0,-5.488458276E-2,-1.175208911E-1,6.635844707E-1
2.035877208E0,-5.399242416E-2,-1.690525115E-1,7.103937864E-1
2.045830208E0,-6.620292366E-2,-2.048301697E-1,7.244991064E-1
2.055784208E0,-8.510843664E-2,-2.227026522E-1,6.980108023E-1
2.065737208E0,-9.549935162E-2,-2.068901956E-1,6.572161317E-1
2.075691208E0,-1.005521640E-1,-1.672841907E-1,6.017259359E-1
2.085644208E0,-9.918159992E-2,-1.149207205E-1,5.477849245E-1
2.095598208E0,-9.676158428E-2,-6.028277799E-2,5.122396946E-1
2.105551208E0,-8.593761921E-2,-2.522547729E-2,4.975054860E-1
2.115505208E0,-6.210792065E-2,-1.079567149E-2,4.965547323E-1
2.125458208E0,-4.591324180E-2,-2.496811934E-2,5.069417357E-1
2.135412208E0,-2.658002265E-2,-6.535016000E-2,5.254296660E-1
2.145365208E0,-2.116260305E-2,-1.253018230E-1,5.460596681E-1
2.155319208E0,-2.645110711E-2,-1.774670184E-1,5.697056055E-1
2.165272208E0,-3.365499154E-2,-2.127074748E-1,5.777593851E-1
2.175226208E0,-4.538834468E-2,-2.204615474E-1,5.754855871E-1
2.185179208E0,-5.812253803E-2,-2.026124895E-1,5.613182187E-1
2.195133208E0,-7.237816602E-2,-1.769675761E-1,5.511750579E-1
2.205086208E0,-8.346559852E-2,-1.364670694E-1,5.319486260E-1
2.215040208E0,-8.676019311E-2,-1.054561511E-1,5.219013095E-1
2.224993208E0,-7.960718870E-2,-9.278394282E-2,5.225919485E-1
2.234947208E0,-6.711882353E-2,-1.136846989E-1,5.364015102E-1
2.244900208E0,-6.442699581E-2,-1.603785008E-1,5.641936660E-1
2.254854208E0,-5.275782943E-2,-2.232786417E-1,5.934306979E-1
2.264807208E0,-5.576068908E-2,-2.713394165E-1,6.155894995E-1
2.274761208E0,-5.639185756E-2,-2.766929269E-1,6.122472286E-1
2.284714208E0,-6.252580881E-2,-2.522125244E-1,5.857902765E-1
2.294668208E0,-6.047011539E-2,-2.001232356E-1,5.423591733E-1
2.304621208E0,-4.858024418E-2,-1.280943006E-1,5.005143285E-1
2.314575208E0,-3.532329574E-2,-5.965185538E-2,4.605120122E-1
2.324528208E0,-2.775079943E-2,-7.000106387E-3,4.200925231E-1
2.334482208E0,-2.402796596E-2,1.900752448E-2,3.973006606E-1
2.344435208E0,-6.692907773E-3,1.609432045E-3,3.837671578E-1
2.354389208E0,1.055931672E-2,-4.489042610E-2,3.828076124E-1
2.364342208E0,2.075453661E-2,-1.080400422E-1,4.059981108E-1
2.374295208E0,1.885037683E-2,-1.682599783E-1,4.394040108E-1
2.384249208E0,8.524985053E-3,-2.087339759E-1,4.599981308E-1
2.394202208E0,-2.574538114E-3,-2.172233313E-1,4.581746757E-1
2.404156208E0,-1.559764612E-2,-1.959014386E-1,4.520800710E-1
2.414109208E0,-2.569795027E-2,-1.485938430E-1,4.298149943E-1
2.424063208E0,-3.702207282E-2,-1.031201705E-1,4.058014750E-1
2.434013208E0,-3.139880672E-2,-7.655673474E-2,3.876126111E-1
2.443967208E0,-2.408562228E-2,-7.554432750E-2,3.957953453E-1
2.453920208E0,-1.324469317E-2,-1.080833599E-1,4.310425520E-1
2.463874208E0,-1.010457054E-3,-1.599348336E-1,4.876527190E-1
2.473827208E0,1.089919917E-2,-2.170180976E-1,5.603967309E-1
2.483781208E0,1.689203829E-2,-2.683641613E-1,6.303829551E-1
2.493734208E0,-7.941672578E-3,-3.211056888E-1,6.758348942E-1
2.503688208E0,1.206193492E-2,-2.737181187E-1,7.218176126E-1
2.513641208E0,7.535893004E-3,-2.409551144E-1,7.387630343E-1
2.523595208E0,-4.982465412E-3,-1.746546924E-1,7.129551768E-1
2.533548208E0,8.558643982E-3,-1.072993502E-1,6.474992633E-1
2.543502208E0,1.282828674E-2,-4.696198553E-2,5.838484764E-1
2.553455208E0,9.353127331E-3,-1.205646247E-2,5.494191051E-1
2.563409208E0,1.286555082E-2,-1.766721718E-2,5.350278616E-1
2.573362208E0,9.566958994E-3,-5.651368201E-2,5.311598778E-1
2.583316208E0,1.561351679E-2,-1.040061414E-1,5.391954780E-1
2.593269208E0,3.777740896E-2,-1.487219483E-1,5.551300049E-1
2.603223208E0,5.983344465E-2,-1.753816009E-1,5.658878088E-1
2.613176208E0,7.551280409E-2,-1.749174148E-1,5.492172241E-1
2.623130208E0,8.644435555E-2,-1.336729676E-1,5.113521218E-1
2.633083208E0,9.353608638E-2,-5.986852571E-2,4.688291550E-1
2.643037208E0,9.898872674E-2,2.513892204E-2,4.291765988E-1
2.652990208E0,8.815072477E-2,9.929384291E-2,3.807891011E-1
2.662944208E0,7.281182706E-2,1.360692233E-1,3.583489954E-1
2.672897208E0,7.964922488E-2,1.054266319E-1,3.843198717E-1
2.682851208E0,6.933511794E-2,3.252932429E-2,4.439699948E-1
2.692804208E0,5.452208966E-2,-7.031317055E-2,4.863416851E-1
2.702758208E0,4.493787140E-2,-1.714675575E-1,5.108438730E-1
2.712711208E0,3.691909090E-2,-2.364838421E-1,5.361928940E-1
2.722665208E0,2.960821614E-2,-2.464617342E-1,5.506236553E-1
2.732618208E0,2.344432846E-2,-2.206551582E-1,5.341823697E-1
2.742572208E0,7.345444523E-3,-1.546951383E-1,4.761122465E-1
2.752525208E0,-8.324062452E-3,-7.720647007E-2,4.161533117E-1
2.762478208E0,-2.382283472E-2,7.588483393E-3,3.451612890E-1
2.772432208E0,-3.490132093E-2,8.036628366E-2,2.926434875E-1
2.782385208E0,-3.443388268E-2,1.039648876E-1,2.620582581E-1
2.792339208E0,-1.775423996E-2,6.290959567E-2,2.495523095E-1
2.802292208E0,-1.718397252E-3,-2.838085964E-2,2.642800808E-1
2.812246208E0,5.444973242E-3,-1.178628057E-1,2.747085094E-1
2.822199208E0,2.337635309E-2,-1.884357035E-1,2.767355442E-1
2.832153208E0,3.459225595E-2,-2.120856345E-1,2.449472547E-1
2.842106208E0,3.854029253E-2,-1.907155067E-1,1.808106750E-1
2.852060208E0,4.568528756E-2,-1.253626049E-1,1.209180430E-1
2.862013208E0,5.273981765E-2,-3.971280158E-2,6.166037172E-2
2.871967208E0,5.625598878E-2,4.107446223E-2,1.501803845E-2
2.881920208E0,5.695549399E-2,1.119568273E-1,-2.252715081E-2
2.891874208E0,5.190960318E-2,1.670485735E-1,-6.083059683E-2
