"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.412965867E0,8.252520561E-1,-1.241520643E0,-3.234988689E0
2.429967932E0,7.987312078E-1,-1.019906998E0,-2.924423218E0
2.446975928E0,9.247536659E-1,-8.829193115E-1,-2.909963608E0
2.463980506E0,9.788622856E-1,-6.300477982E-1,-2.987421036E0
2.480989347E0,9.950777292E-1,-2.019722462E-1,-3.069346905E0
2.497991248E0,7.955212593E-1,2.932634354E-1,-2.796104431E0
2.514979949E0,5.279405117E-1,6.185483932E-1,-1.846921444E0
2.531999053E0,-2.430217266E-1,9.353187084E-1,6.268434525E-1
2.549006947E0,-1.007735968E0,1.083752632E0,4.068482399E0
2.566011576E0,-9.060215950E-1,8.972616196E-1,6.597192764E0
2.583014974E0,-8.018798828E-1,6.882925034E-1,7.611821175E0
2.600021933E0,-6.575303078E-1,7.698910236E-1,7.299305916E0
2.617026846E0,-4.615249634E-1,1.070082188E0,6.300750732E0
2.634031994E0,-4.445023537E-1,1.371231079E0,5.029530525E0
2.651037071E0,-6.716382504E-1,1.369236469E0,4.351513863E0
2.668031272E0,-1.162686110E0,1.029733658E0,5.109726906E0
2.685047173E0,-1.070842028E0,1.987955570E-1,6.730837822E0
2.702052259E0,-3.274221420E-1,-7.875275612E-1,7.677405357E0
2.719060885E0,6.534115076E-1,-1.469833851E0,6.398837090E0
2.736062484E0,1.383429050E0,-1.961876154E0,3.291238785E0
2.753069574E0,1.570959806E0,-2.464715481E0,1.094493866E-1
2.770076095E0,1.463868856E0,-2.851313591E0,-1.489710331E0
2.787077621E0,1.296277046E0,-3.187829971E0,-1.684244156E0
2.804082759E0,1.131411433E0,-3.443292141E0,-1.111466885E0
2.821092169E0,1.221750379E0,-3.578947067E0,-4.322395325E-1
2.838079748E0,1.450821161E0,-3.661667824E0,-1.836795807E-1
2.855084806E0,1.530536532E0,-3.728635311E0,-1.682214737E-1
2.872103075E0,1.727559209E0,-3.692713976E0,-5.822768211E-1
2.889108253E0,1.913932800E0,-3.553292751E0,-1.348917961E0
2.906113300E0,2.155515194E0,-3.505992413E0,-2.342918396E0
2.923118203E0,2.216101408E0,-3.415555477E0,-3.056267738E0
2.940123462E0,2.214945555E0,-3.284222126E0,-3.381320000E0
2.957128579E0,2.181401014E0,-3.071235180E0,-3.526020527E0
2.974133585E0,2.142436266E0,-2.926642656E0,-3.455646038E0
2.991138702E0,2.155680180E0,-2.709706783E0,-3.309216499E0
3.008148508E0,2.124441147E0,-2.567837238E0,-2.987554073E0
3.025138592E0,2.066204071E0,-2.351916075E0,-2.650590897E0
3.042154308E0,2.106257915E0,-2.115418911E0,-2.244229317E0
3.059158948E0,2.114085197E0,-1.775339127E0,-1.734602928E0
3.076164085E0,2.069405079E0,-1.393009901E0,-8.005909920E-1
3.093173871E0,2.050826550E0,-1.086641788E0,3.708410263E-1
3.110174248E0,2.127988338E0,-6.989955902E-1,1.383895874E0
3.127166171E0,2.254371405E0,-2.881202698E-1,2.095760345E0
3.144175236E0,2.476121902E0,1.262521744E-2,2.425099373E0
3.161189631E0,2.636039495E0,2.074809074E-1,2.387989998E0
3.178194503E0,2.623588324E0,1.031579971E-1,2.654362679E0
3.195203812E0,2.396714687E0,-3.692340851E-2,3.533167839E0
3.212204789E0,2.126080036E0,-5.047535896E-2,4.715035439E0
3.229206477E0,1.931546330E0,2.850613594E-1,5.410264015E0
3.246214911E0,1.957090616E0,6.723499298E-1,5.030154228E0
3.263220008E0,2.035454035E0,6.071684361E-1,4.318837166E0
3.280225075E0,1.775054336E0,4.151320457E-2,4.733958244E0
3.297230161E0,1.386411905E0,-4.008269310E-1,6.842577934E0
3.314222004E0,1.119734764E0,-7.626967430E-1,8.151728630E0
3.331240335E0,1.310501814E0,-1.311995745E0,6.612485886E0
