"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.208149458E0,2.293510735E-1,-1.865611672E0,1.685303897E-1
1.218103458E0,1.323262155E-1,-1.739493370E0,7.730824500E-2
1.228057458E0,-7.497210801E-2,-1.375805140E0,4.841028526E-2
1.238010458E0,-3.387830853E-1,-8.893871307E-1,7.750193775E-2
1.247964458E0,-6.418103576E-1,-4.898147285E-1,1.335324496E-1
1.257918458E0,-8.929495811E-1,-2.231611609E-1,1.262255311E-1
1.267871458E0,-1.109546065E0,-1.039732471E-1,3.351423144E-2
1.277825458E0,-1.283724666E0,-1.685085297E-1,-1.693852246E-1
1.287779458E0,-1.286821365E0,-3.191078901E-1,-2.882831395E-1
1.297733458E0,-1.180348396E0,-5.444654822E-1,-3.124953210E-1
1.307686458E0,-1.062280059E0,-8.553389311E-1,-3.988896012E-1
1.317640458E0,-8.827900887E-1,-1.087150455E0,-5.193421841E-1
1.327594458E0,-6.865478754E-1,-1.157224059E0,-6.505632997E-1
1.337547458E0,-4.594856501E-1,-1.129090190E0,-7.433099747E-1
1.347501458E0,-3.255888522E-1,-1.076778531E0,-7.931411862E-1
1.357455958E0,-2.091992795E-1,-9.506449699E-1,-7.197957635E-1
1.367409958E0,-2.241129242E-2,-8.470658064E-1,-5.408039093E-1
1.377362958E0,2.192371190E-1,-8.667539358E-1,-3.171850443E-1
1.387316958E0,4.335014820E-1,-1.076369286E0,-2.329397053E-1
1.397270958E0,6.574590802E-1,-1.367771149E0,-3.140179813E-1
1.407223958E0,8.587045670E-1,-1.655818343E0,-4.238768518E-1
1.417177958E0,9.829913378E-1,-1.731283784E0,-5.168749690E-1
1.427131958E0,1.027466893E0,-1.589939952E0,-6.215670109E-1
1.437085958E0,9.628995657E-1,-1.339634061E0,-7.493219972E-1
1.447038958E0,8.885478377E-1,-9.293168783E-1,-8.559911847E-1
1.456992958E0,8.111180067E-1,-3.825041652E-1,-9.324211478E-1
1.466946958E0,6.546127796E-1,2.560534179E-1,-9.841452837E-1
1.476900958E0,6.023038030E-1,6.017564535E-1,-1.016963124E0
1.486853958E0,5.596793890E-1,6.767572165E-1,-1.051189303E0
1.496807958E0,5.787659883E-1,6.284622550E-1,-1.040497541E0
1.506761958E0,6.312443614E-1,4.887445569E-1,-1.020265818E0
1.516714958E0,6.619671583E-1,2.490121722E-1,-1.180091262E0
