Person,Action,Acceleration x (m/s^2)_mean,Acceleration x (m/s^2)_std,Acceleration x (m/s^2)_min,Acceleration x (m/s^2)_max,Acceleration y (m/s^2)_mean,Acceleration y (m/s^2)_std,Acceleration y (m/s^2)_min,Acceleration y (m/s^2)_max,Acceleration z (m/s^2)_mean,Acceleration z (m/s^2)_std,Acceleration z (m/s^2)_min,Acceleration z (m/s^2)_max,Gyroscope x (rad/s)_mean,Gyroscope x (rad/s)_std,Gyroscope x (rad/s)_min,Gyroscope x (rad/s)_max,Gyroscope y (rad/s)_mean,Gyroscope y (rad/s)_std,Gyroscope y (rad/s)_min,Gyroscope y (rad/s)_max,Gyroscope z (rad/s)_mean,Gyroscope z (rad/s)_std,Gyroscope z (rad/s)_min,Gyroscope z (rad/s)_max,Linear Acceleration x (m/s^2)_mean,Linear Acceleration x (m/s^2)_std,Linear Acceleration x (m/s^2)_min,Linear Acceleration x (m/s^2)_max,Linear Acceleration y (m/s^2)_mean,Linear Acceleration y (m/s^2)_std,Linear Acceleration y (m/s^2)_min,Linear Acceleration y (m/s^2)_max,Linear Acceleration z (m/s^2)_mean,Linear Acceleration z (m/s^2)_std,Linear Acceleration z (m/s^2)_min,Linear Acceleration z (m/s^2)_max
1,walkingwith,0.7534446862525468,0.8737615808027616,-1.522712231,3.167528868,4.0350859572687074,1.2307262749867744,1.623268723,7.108684063,8.924214805798469,2.6528171947670915,4.335899353,14.9021101,0.0006451486134233021,0.33665395839149126,-1.277166486,1.179733515,0.0021764676879173464,0.2834119246343505,-0.9233227968,1.232420683,0.011653189115227893,0.2795119165212351,-0.6736316681,0.8779660463,-0.2788102986589722,0.7436485743885817,-1.82617116,1.974359274,-1.1544352914071125,1.075847649381524,-3.125110626,2.088374138,0.6982887619804344,2.7071360188907305,-4.108055115,6.439979553
1,walkingwith,0.3851212154436852,0.8907139758098218,-2.149993181,3.576937437,5.041567938995105,1.2079798852493233,2.801215887,8.099884033,8.456927641236499,2.225365208214363,3.924096584,14.19312668,-0.0032658226467433666,0.33797411574054154,-1.636966109,0.8315402865,-0.003621466804666002,0.3114255336051921,-1.084591269,1.035111189,-0.004685622671294647,0.2016291254385118,-0.6094908118,0.7148650289,0.011971771580840774,0.7442507213010733,-1.982431889,2.717478275,-0.23317565204240803,1.1447096364677016,-2.570360661,2.85122776,0.21665571073472412,2.2944184837839234,-4.102751255,5.969969749
1,walkingwith,0.5734422198391702,1.1494705061182964,-3.598485231,3.481169224,3.6754969553969725,1.0466306679898798,0.6200982332,6.016928196,9.026130832967944,1.8942307835595695,5.763142586,14.93802261,-0.011771586637705908,0.47221631664677616,-3.133051395,3.760562897,0.010698099664193628,0.37313207901643597,-1.039921761,3.32776475,0.0007001800518173966,0.34790504561709656,-2.308001518,0.6840163469,0.2277604479494884,0.8192800216267904,-2.440515041,2.442908287,0.2897820322585911,1.1340608902293183,-2.060768843,4.088886738,-0.15286522511983777,1.9227496080525244,-3.234268665,5.71384716
1,walkingwith,0.3846976028808138,0.7373757999538212,-1.683123827,3.193865061,4.675122387617886,0.9347273605908566,2.808398485,6.909965515,8.606346820086177,1.6817044777200005,4.534617901,13.4197998,0.0005875792138832786,0.2947375873383515,-1.06832695,0.8650615215,-0.028995099225336878,0.3053960331553737,-1.084514856,0.8048913479,-0.03415273416650307,0.24299570671543308,-0.849255383,0.5850561857,0.4099949839259873,0.637849494536879,-1.430230975,2.61916995,-0.4223114429939708,0.8658352066639896,-1.922408104,1.877237797,0.29237102388647357,1.6955342250591388,-3.632064342,4.813465118
1,walkingwith,0.502906124743494,0.6342739402389913,-1.063025594,2.901772499,4.23213244553983,0.9261103608442658,2.236184359,6.392817974,8.82727026577288,1.76923961334772,3.852270603,13.80526638,8.989944392417093e-05,0.27966681986718,-1.0585531,0.8668941259,-0.011525567695140312,0.31877202638286234,-1.64284575,1.057178617,-0.025057762648733252,0.24005066658262697,-0.8804095387,0.6534730792,-0.08410954684285861,0.6874776599605583,-1.610784292,2.325357199,-0.45231226006086195,0.8348754778945638,-2.087897539,1.507390022,0.257653965148627,1.7680996881108129,-4.827118397,5.093564987
2,drinking,3.052359260185674,4.153497001690902,-3.723830223,10.76112175,7.762491801571453,2.836467732798811,-1.239482164,15.69811249,-0.8718908028772768,1.0959860767095138,-3.195614576,4.598406792,-0.014662896642655706,0.18342719642169683,-1.322065115,0.4946481287,-0.015027676216365325,0.20863804296802835,-1.672396302,0.8184067011,0.008497883425371047,0.6181795374517448,-1.923767328,1.274723053,-0.06992907004128895,0.4442564233289258,-2.173290014,1.212012768,-0.026428136999626956,0.6797948530856185,-2.282364368,5.816944122,0.07508130621434489,0.24735410576658381,-1.09514761,1.475609541
2,drinking,-3.343387369617725,3.854257405535412,-11.137393,10.79880905,6.866961021829999,3.615983283265063,-1.571486235,18.2973156,-0.23134796827266718,3.391419229107399,-31.00380325,22.85025978,-0.002125835515689666,0.6525192564213858,-2.978579044,2.685668945,-0.034378537795141044,0.44363761326776696,-3.069445133,2.199267626,-0.008897733054782943,0.6394702023952592,-2.206292629,2.774549961,0.5401604348641472,0.7576115946699189,-6.505852699,5.114940166,0.06270985599407358,0.7182169637648079,-5.71297121,10.80507278,-0.1926219776007623,0.8159421737211412,-12.0468092,7.450921059
2,walking,7.004800588825939,3.405990266853867,-4.557728767,13.12582874,-5.0029536503736605,3.1620411258787295,-10.40578747,6.134599209,2.6743436688060185,2.8633809463189124,-1.200598717,13.23769283,0.022877891632891216,0.5216927776551288,-1.93705368,1.534951687,-0.026353448300369883,1.0810353465926958,-4.132656097,3.345098019,0.06927712160671004,1.1811882530157214,-2.829069614,4.207334518,-0.1929353169202904,2.5385392286601416,-5.172855377,6.459008217,-1.5072418659400846,2.3347756166219273,-7.385200024,2.682229996,0.6759799990774339,1.2959725205121162,-4.965353012,4.311014175
2,walking,7.510136933546459,3.8987896395573234,-9.223732948,14.34676647,-4.786254524921264,2.7915823025856352,-10.21316528,6.562315941,2.448071408129747,2.243223591001486,-2.37786746,12.11545944,-0.05321997372779307,0.912146009043387,-4.507727146,3.268892527,-0.05442237633337308,1.3129673142092373,-4.43686676,6.943705082,0.03427821688107648,1.3906565051609359,-3.965737104,3.959170341,0.18105516160365615,2.713187445975388,-4.381864548,8.307917595,-1.4002436831435185,2.4506175962178904,-9.196516037,3.095127344,0.906968963031567,1.4332611532805821,-7.845920086,5.125792027
2,walking,7.203097408237593,3.633711361760533,-3.978665829,15.6179533,-4.850694000545548,3.447340661388986,-12.35773277,6.192625046,2.560120955700135,2.583920309164734,-2.697907448,13.29392433,-0.011472485319323118,0.7419916499481596,-2.130239725,2.398257017,0.015149379854689678,1.0123158738061375,-2.570520878,3.213762045,0.0679481203125008,1.3389201327347922,-3.208722353,2.900846243,0.6785632999234366,3.0254547938150558,-4.17681694,9.067781448,-0.5586167790380162,2.4619514737059602,-7.075837135,4.472921371,-0.029562668477996733,1.3935340824973184,-6.018841743,4.513883591
