"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.677416958E0,-8.266033530E-1,-1.405361108E-2,-2.807451010E0
1.687370958E0,-1.107581615E0,-1.698950492E-2,-3.054747105E0
1.697324958E0,-1.313362479E0,-1.482621953E-2,-3.275824070E0
1.707278958E0,-1.486914396E0,-5.350243673E-2,-3.450795889E0
1.717232958E0,-1.567465186E0,-1.281830668E-1,-3.569958687E0
1.727187958E0,-1.563877225E0,-1.891390383E-1,-3.689115524E0
1.737141958E0,-1.510356426E0,-2.725319266E-1,-3.775921822E0
1.747095958E0,-1.434549451E0,-3.815656006E-1,-3.800478458E0
1.757049958E0,-1.371002436E0,-4.270974100E-1,-3.842725039E0
1.767004958E0,-1.317266703E0,-3.878732920E-1,-3.919991970E0
1.776958958E0,-1.279000878E0,-2.713727653E-1,-4.030251026E0
1.786912958E0,-1.287004232E0,-1.913805008E-1,-4.142554283E0
1.796866958E0,-1.339962959E0,-1.514274925E-1,-4.246137142E0
1.806821958E0,-1.406524420E0,-1.872679442E-1,-4.374864101E0
1.816775958E0,-1.511737108E0,-3.072017729E-1,-4.548971653E0
1.826729958E0,-1.689469576E0,-5.175478458E-1,-4.775023460E0
1.836683958E0,-1.916930676E0,-8.329244256E-1,-5.025063515E0
1.846638958E0,-2.142401457E0,-1.146676183E0,-5.335763931E0
1.856592958E0,-2.328813076E0,-1.435509562E0,-5.649003983E0
1.866546958E0,-2.429037333E0,-1.627418399E0,-5.926065445E0
1.876500958E0,-2.431122065E0,-1.633295774E0,-6.107207298E0
1.886455958E0,-2.278833389E0,-1.549628019E0,-6.138091564E0
1.896409958E0,-1.960344195E0,-1.347195268E0,-6.019593716E0
1.906363958E0,-1.519359708E0,-9.984581470E-1,-5.820489407E0
1.916317958E0,-1.024079084E0,-4.800602496E-1,-5.662940979E0
1.926271958E0,-4.984811246E-1,1.516985893E-1,-5.583491325E0
1.936226958E0,6.506957859E-2,8.207275271E-1,-5.602928162E0
1.946180958E0,6.378466487E-1,1.436647177E0,-5.655658722E0
1.956134958E0,1.088819623E0,1.878731608E0,-5.670971870E0
1.966088958E0,1.252595782E0,2.196876526E0,-5.626267910E0
1.976043958E0,1.144606471E0,2.388994694E0,-5.393549919E0
1.985997958E0,9.358908534E-1,2.339323521E0,-4.878931522E0
1.995951958E0,7.729693055E-1,2.029581308E0,-4.100089550E0
2.005905958E0,6.838270426E-1,1.522417903E0,-3.078242064E0
2.015860958E0,6.357790828E-1,9.348856211E-1,-1.914163232E0
2.025814958E0,5.765897036E-1,2.988843620E-1,-8.222247362E-1
2.035768958E0,4.814892709E-1,-3.823748529E-1,1.200062875E-2
2.045722958E0,3.028082550E-1,-9.979267716E-1,5.183030963E-1
2.055677958E0,5.292652547E-2,-1.519057870E0,7.414773703E-1
2.065631958E0,-2.480059862E-1,-1.921621323E0,7.432116866E-1
2.075585958E0,-5.748685598E-1,-2.230202436E0,6.324476600E-1
2.085539958E0,-8.768342733E-1,-2.427705050E0,4.862489998E-1
2.095494958E0,-1.085195303E0,-2.466356039E0,3.161241412E-1
2.105448958E0,-1.153862596E0,-2.288463593E0,1.676450819E-1
2.115402958E0,-1.090486050E0,-1.885935903E0,1.017851084E-1
2.125356958E0,-9.307327867E-1,-1.324768662E0,1.780325770E-1
2.135310958E0,-6.872687340E-1,-6.414678693E-1,2.763370275E-1
2.145265958E0,-3.681791723E-1,-1.357651353E-1,4.750421941E-1
2.155219958E0,-2.083614096E-2,6.334791183E-1,6.536268592E-1
2.165173958E0,1.953772157E-1,1.359992981E0,7.198454142E-1
2.175127958E0,1.880372912E-1,1.700544715E0,8.238551617E-1
2.185082958E0,7.598800212E-2,1.877376080E0,9.537228346E-1
2.195036958E0,-1.101861298E-1,1.918195486E0,1.071049452E0
2.204990958E0,-3.759441674E-1,1.816221952E0,1.218373179E0
2.214944958E0,-6.606741548E-1,1.632637262E0,1.443417907E0
2.224900208E0,-9.134888053E-1,1.367745161E0,1.771041393E0
2.234854208E0,-1.085934043E0,1.103989482E0,2.129613161E0
2.244808208E0,-1.126403928E0,9.190526009E-1,2.484645128E0
2.254762208E0,-9.944040775E-1,7.287854552E-1,2.879038811E0
2.264716208E0,-7.342212796E-1,6.549580097E-1,3.187674522E0
2.274671208E0,-3.598537445E-1,6.237939596E-1,3.521514893E0
2.284625208E0,-1.688541472E-2,6.943308115E-1,3.776330233E0
2.294579208E0,2.728222907E-1,8.052868843E-1,3.989737272E0
2.304533208E0,5.220350027E-1,9.448799491E-1,4.188246250E0
2.314488208E0,7.246211171E-1,1.048770428E0,4.342708588E0
2.324442208E0,9.021252394E-1,1.066778898E0,4.478860855E0
2.334396208E0,1.044385791E0,1.061398506E0,4.598186493E0
2.344350208E0,1.170194030E0,9.791150093E-1,4.732710838E0
2.354305208E0,1.280784726E0,8.777250051E-1,4.903042316E0
2.364259208E0,1.308626294E0,7.309440970E-1,5.174065113E0
2.374213208E0,1.179412365E0,6.024457216E-1,5.457016468E0
2.384167208E0,8.664182425E-1,5.360362530E-1,5.581022739E0
2.394122208E0,4.857878387E-1,4.419324398E-1,5.627223492E0
2.404076208E0,1.129858196E-1,2.784812450E-1,5.677005768E0
2.414030208E0,-1.735394150E-1,7.558247447E-2,5.692908287E0
2.423984208E0,-3.456011713E-1,-1.023953184E-1,5.646641254E0
2.433939208E0,-4.207539856E-1,-2.142611295E-1,5.534968376E0
2.443893208E0,-4.090271294E-1,-2.346302122E-1,5.406821251E0
2.453847208E0,-3.308404684E-1,-1.649888158E-1,5.311597347E0
2.463801208E0,-2.186409384E-1,1.286382321E-3,5.241576672E0
2.473755208E0,-1.333731860E-1,1.715103090E-1,5.169219494E0
2.483710208E0,-1.077501625E-1,3.693358898E-1,5.039525509E0
2.493664208E0,-1.725291610E-1,2.583965659E-1,5.095310688E0
